id,node_name,node_type,node_centrality_closeness,node_centrality_betweenness,node_centrality_degree
co_4,Anschrift.anschrift,code,NaN,NaN,NaN
co_5,Anschrift.letzteFruehereAnschrift,code,NaN,NaN,NaN
co_6,Asylstatus.asylstatus,code,NaN,NaN,NaN
co_7,Asylstatus.dublinStaat,code,NaN,NaN,NaN
co_8,Asylstatus.einreisestaat,code,NaN,NaN,NaN
co_9,Asylstatus.ereignisdatum,code,NaN,NaN,NaN
co_10,Asylstatus.geschaeftszeichen,code,NaN,NaN,NaN
co_12,Aufenthaltsstatus,code,NaN,NaN,NaN
co_13,Aufenthaltsstatus.aufenthaltsstatusArt,code,NaN,NaN,NaN
co_14,Aufenthaltsstatus.befristungsdatum,code,NaN,NaN,NaN
co_15,Aufenthaltsstatus.ereignisdatum,code,NaN,NaN,NaN
co_16,Aufenthaltsstatus.traegervordruck,code,NaN,NaN,NaN
co_17,AuslieferungDurchlieferung,code,NaN,NaN,NaN
co_18,AuslieferungDurchlieferung.aktenzeichenMeldendeBehoerde,code,NaN,NaN,NaN
co_19,AuslieferungDurchlieferung.ausDurchlieferungArt,code,NaN,NaN,NaN
co_20,AuslieferungDurchlieferung.ereignisdatum,code,NaN,NaN,NaN
co_21,AuslieferungDurchlieferung.loeschdatum,code,NaN,NaN,NaN
co_22,AuslieferungDurchlieferung.zielstaat,code,NaN,NaN,NaN
co_23,Ausschreibung,code,NaN,NaN,NaN
co_24,Ausschreibung.anlass,code,NaN,NaN,NaN
co_25,Ausschreibung.ausschreibendeBehoerde,code,NaN,NaN,NaN
co_26,Ausschreibung.ausschreibendeBehoerdeAz,code,NaN,NaN,NaN
co_27,Ausschreibung.ausschreibendeBehoerdeFreitext,code,NaN,NaN,NaN
co_28,Ausschreibung.ausschreibungArt,code,NaN,NaN,NaN
co_29,Ausschreibung.fahndungsNr,code,NaN,NaN,NaN
co_30,Ausschreibung.loeschdatum,code,NaN,NaN,NaN
co_31,Ausschreibung.ppkNummer,code,NaN,NaN,NaN
co_32,Aussiedlerangelegenheit.aktenzeichenMeldendeBehoerde,code,NaN,NaN,NaN
co_33,Aussiedlerangelegenheit.aussiedlerangelegenheitArt,code,NaN,NaN,NaN
co_34,Aussiedlerangelegenheit.ereignisdatum,code,NaN,NaN,NaN
co_35,Aussiedlerangelegenheit.loeschdatum,code,NaN,NaN,NaN
co_41,DeutscheStaatsangehoerigkeit.deutscheStaatsangehoerigkeitArt,code,NaN,NaN,NaN
co_42,DeutscheStaatsangehoerigkeit.ereignisdatum,code,NaN,NaN,NaN
co_43,DeutscheStaatsangehoerigkeit.staatsangehoerigkeitsBehoerde,code,NaN,NaN,NaN
co_44,Einreisebedenken.aktenzeichenMeldendeBehoerde,code,NaN,NaN,NaN
co_45,Einreisebedenken.befristungsdatum,code,NaN,NaN,NaN
co_46,Einreisebedenken.einreisebedenkenArt,code,NaN,NaN,NaN
co_47,Einreisebedenken.ereignisdatum,code,NaN,NaN,NaN
co_50,Familienverband.azrNummerFamilienmitglied,code,NaN,NaN,NaN
co_51,Familienverband.familienbeziehungArt,code,NaN,NaN,NaN
co_52,Familienverband.familiennameFamilienmitglied,code,NaN,NaN,NaN
co_53,Familienverband.vornameFamilienmitglied,code,NaN,NaN,NaN
co_55,Fingerabdruck.bkaDNummer,code,NaN,NaN,NaN
co_56,Fingerabdruck.bkaENummer,code,NaN,NaN,NaN
co_57,Fingerabdruck.fingerabdruckId,code,NaN,NaN,NaN
co_58,Fingerabdruck.loeschdatum,code,NaN,NaN,NaN
co_61,Grundpersonalien,code,NaN,NaN,NaN
co_62,Grundpersonalien.familienname,code,NaN,NaN,NaN
co_63,Grundpersonalien.geburtsangaben,code,NaN,NaN,NaN
co_64,Grundpersonalien.geburtsangaben.geburtsort,code,NaN,NaN,NaN
co_65,Grundpersonalien.geburtsangaben.geburtsortStaat,code,NaN,NaN,NaN
co_66,Grundpersonalien.geburtsangaben.geburtsortbezirk,code,NaN,NaN,NaN
