id,node_name,node_type,node_centrality_closeness,node_centrality_betweenness,node_centrality_degree
co_376,application for international protection: Member State of origin,code,NaN,NaN,NaN
co_377,application for international protection: date,code,NaN,NaN,NaN
co_378,application for international protection: place,code,NaN,NaN,NaN
co_454,date of the arrival of the person concerned after a successful transfer,code,NaN,NaN,NaN
co_455,date on which the data were transmitted to the Central System,code,NaN,NaN,NaN
co_456,date on which the fingerprints were taken,code,NaN,NaN,NaN
co_457,date when the decision to examine the application was taken,code,NaN,NaN,NaN
co_458,date when the person concerned left or was removed from the territory of the Member States,code,NaN,NaN,NaN
co_459,date when the person concerned left the territory of the Member States,code,NaN,NaN,NaN
co_518,fingerprint data,code,NaN,NaN,NaN
co_614,operator user ID,code,NaN,NaN,NaN
co_645,reference number used by the Member State of origin,code,NaN,NaN,NaN
co_684,sex,code,NaN,NaN,NaN
cf_7,System native,code-group,0.6515,65.9355,0.1034
cf_8,System pre-existant,code-group,0.6515,65.9355,0.1034
cf_11,asylum,code-group,0.4217,0,0.0345
cf_14,biometrics,code-group,0.6515,65.9355,0.1034
cf_16,biometrics: fingerprint data,code-group,0.6515,65.9355,0.1034
cf_32,date of exit,code-group,0.4217,0,0.0345
cf_51,linking data,code-group,0.6515,65.9355,0.1034
cf_54,linking data: MS,code-group,0.4217,0,0.0345
cf_70,operator data,code-group,0.4217,0,0.0345
cf_74,procedure data,code-group,0.6086,38.6154,0.069
cf_85,sex & gender,code-group,0.6515,65.9355,0.1034
cf_98,travel: relocation,code-group,0.4217,0,0.0345
co_362,a reference to the decision giving rise to the alert,code,NaN,NaN,NaN
co_365,action to be taken,code,NaN,NaN,NaN
co_373,aliases,code,NaN,NaN,NaN
co_389,authority issuing the alert,code,NaN,NaN,NaN
co_442,date of birth,code,NaN,NaN,NaN
co_520,fingerprints,code,NaN,NaN,NaN
co_527,forename(s),code,NaN,NaN,NaN
co_572,link(s) to other alerts,code,NaN,NaN,NaN
co_600,name(s) at birth,code,NaN,NaN,NaN
co_605,nationality(ies),code,NaN,NaN,NaN
co_626,photographs,code,NaN,NaN,NaN
co_627,physical characteristics,code,NaN,NaN,NaN
co_628,place of birth,code,NaN,NaN,NaN
co_633,previously used names,code,NaN,NaN,NaN
co_641,reason for the alert,code,NaN,NaN,NaN
co_701,surname(s),code,NaN,NaN,NaN
co_751,"whether the person concerned is armed, violent or has escaped;",code,NaN,NaN,NaN
cf_9,additional info / comments,code-group,0.452,0,0.0345
cf_18,biometrics: photograph data,code-group,0.5859,8.9714,0.069
cf_19,birth data,code-group,0.5859,8.9714,0.069
cf_20,birth data: date of birth,code-group,0.5859,8.9714,0.069
cf_21,birth data: place of birth,code-group,0.5859,8.9714,0.069
cf_29,criminal offence data,code-group,0.452,0,0.0345
cf_60,name: earlier/other names,code-group,0.5859,8.9714,0.069
cf_61,name: forename,code-group,0.5859,8.9714,0.069
cf_63,name: surname,code-group,0.5859,8.9714,0.069
cf_65,nationality,code-group,0.5859,8.9714,0.069
co_361,a photograph of the applicant,code,NaN,NaN,NaN
co_379,application number,code,NaN,NaN,NaN
co_390,authority which issued the travel document,code,NaN,NaN,NaN
co_391,authority with which the application has been lodged,code,NaN,NaN,NaN
co_428,country of birth,code,NaN,NaN,NaN
co_435,current employer,code,NaN,NaN,NaN
co_436,current nationality,code,NaN,NaN,NaN
co_437,current occupation,code,NaN,NaN,NaN
co_447,date of expiry of the travel document,code,NaN,NaN,NaN
co_451,date of issue of the travel document,code,NaN,NaN,NaN
co_453,date of the application,code,NaN,NaN,NaN
co_466,details of the person issuing an invitation and/or liable to pay the applicant's subsistence costs during the stay,code,NaN,NaN,NaN
co_471,duration of the intended stay,code,NaN,NaN,NaN
co_521,fingerprints of the applicant,code,NaN,NaN,NaN
co_524,first name(s),code,NaN,NaN,NaN
co_528,former surname(s),code,NaN,NaN,NaN
co_547,intended border of first entry,code,NaN,NaN,NaN
co_548,intended date of arrival,code,NaN,NaN,NaN
co_549,intended date of depature,code,NaN,NaN,NaN
co_550,intended transit route,code,NaN,NaN,NaN
co_577,main destination,code,NaN,NaN,NaN
co_598,name of school,code,NaN,NaN,NaN
co_603,nationality at birth,code,NaN,NaN,NaN
co_612,number of the travel document,code,NaN,NaN,NaN
co_630,place of the application,code,NaN,NaN,NaN
co_640,purpose of travel,code,NaN,NaN,NaN
co_675,residence,code,NaN,NaN,NaN
co_689,status information,code,NaN,NaN,NaN
co_697,surname,code,NaN,NaN,NaN
co_699,surname and first name(s) of the applicant's father and mother,code,NaN,NaN,NaN
co_700,surname at birth,code,NaN,NaN,NaN
co_722,type of travel document,code,NaN,NaN,NaN
co_723,type of visa requested,code,NaN,NaN,NaN
cf_30,date of application,code-group,0.5429,0,0.0345
cf_34,education,code-group,0.5429,0,0.0345
cf_66,occupation data,code-group,0.5429,0,0.0345
cf_67,occupation data: current,code-group,0.5429,0,0.0345
cf_71,parents data,code-group,0.5429,0,0.0345
cf_72,personal ties,code-group,0.5429,0,0.0345
cf_73,personal ties: in EU,code-group,0.5429,0,0.0345
cf_79,residence,code-group,0.5429,0,0.0345
cf_87,stay data,code-group,0.5429,0,0.0345
cf_91,travel data,code-group,0.5429,0,0.0345
cf_92,travel document data,code-group,0.5429,0,0.0345
cf_95,travel document: validity: expiration,code-group,0.5429,0,0.0345
cf_96,travel document: visa-related data,code-group,0.5429,0,0.0345
