id,node_name,node_type,node_centrality_closeness,node_centrality_betweenness
pd_2_2,SIS II Regulation,document,0.5674,593.3789
co_127,a reference to the decision giving rise to the alert,code,0.5686,15.7274
co_129,action to be taken,code,0.5538,6.7873
co_137,aliases,code,0.5038,7.9523
co_152,authority issuing the alert,code,0.5686,15.7274
co_202,date of birth,code,0.7408,17412.5758
co_276,fingerprints,code,0.5405,7.9682
co_283,forename(s),code,0.5576,9.4116
co_308,link(s) to other alerts,code,0.5686,15.7274
co_331,name(s) at birth,code,0.5642,53.021
co_336,nationality(ies),code,0.596,301.5312
co_354,photographs,code,0.5405,4.0767
co_355,physical characteristics,code,0.5394,2.9766
co_356,place of birth,code,0.6795,3745.9815
co_361,previously used names,code,0.5038,7.9523
co_368,reason for the alert,code,0.5126,5.3757
co_406,sex,code,0.7311,14255.4397
co_421,surname(s),code,0.6585,697.286
co_467,"whether the person concerned is armed, violent or has escaped;",code,0.4913,2.941
cf_6,System native,code-group,0.7603,48726.645
cf_7,System pre-existant,code-group,0.7757,32522.9244
cf_9,additional info / comments,code-group,0.5949,3345.8251
cf_13,biometrics,code-group,0.695,9953.5856
cf_14,biometrics: fingerprint data,code-group,0.5007,296.8501
cf_15,biometrics: photograph data,code-group,0.6859,3866.292
cf_16,birth data,code-group,0.7158,6352.9085
cf_17,birth data: date of birth,code-group,0.7401,11242.5091
cf_18,birth data: place of birth,code-group,0.7211,7713.5781
cf_24,criminal offence data,code-group,0.4946,18.378
cf_41,linking data,code-group,0.7761,46528.055
cf_49,name: earlier/other names,code-group,0.5471,5289.7623
cf_50,name: forename,code-group,0.6901,7482.0087
cf_52,name: surname,code-group,0.7456,14872.6583
cf_53,nationality,code-group,0.7456,16540.165
cf_72,sex & gender,code-group,0.7393,11164.8626
df_5,EU: SIS,document-group,0.5946,11089.0709
