Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Ferraris V.","57207860371;","Entangled in the technology-driven borderscape: Border crossers rendered to their digital self",2022,"European Journal of Criminology",,,,"","",,,"10.1177/14773708221086717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126299528&doi=10.1177%2f14773708221086717&partnerID=40&md5=96e590f74365dd64cd3e0ea0b72fd4f8","Law Department, University of Turin, Italy","Ferraris, V., Law Department, University of Turin, Italy","EU management of migration is undergoing an unprecedented transformation because of the use of databases and information systems. Drawing on the concept of border performativity, this article discusses how data is transforming the border. In particular, the article focuses on 1) how the EU JHA databases are evolving, from separate systems each with one purpose to multi-purpose databases, and 2) how the new EU plan – the interoperability regulation – connects and merges biometric and biographical data, as part of a shift from a silo-based approach towards a single centralised information system. The article - based on results of several research projects carried out between 2011 and 2019 adopting mixed methodology - discusses the border crossers’ role in challenging this digital border control, both in light of the current practices of data collection and processing and newly approved EU regulations. The article argues that the transformation of border control practices into practices driven by data processing makes it more difficult for border crossers to manoeuvre the system and legally challenge decisions based on data processing, thus, hampering the transformation of the border from below. © The Author(s) 2022.","borders; crimmigration; databases; European union; technology",,"Ferraris, V.; Law Department, Italy; email: valeria.ferraris@unito.it",,"SAGE Publications Inc.",14773708,,,,"English","Eur. J. Criminol.",Article,"Article in Press","",Scopus,2-s2.0-85126299528
"Bellanova R., Glouftsios G.","36343448300;57197773539;","Controlling the Schengen Information System (SIS II): The Infrastructural Politics of Fragility and Maintenance",2022,"Geopolitics","27","1",,"160","184",,4,"10.1080/14650045.2020.1830765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095837210&doi=10.1080%2f14650045.2020.1830765&partnerID=40&md5=8640be9ca492993421362b00a8dfe3e5","Department of Political Science, University of Amsterdam, Amsterdam, Netherlands; School of International Studies, University of Trento, Trento, Italy","Bellanova, R., Department of Political Science, University of Amsterdam, Amsterdam, Netherlands; Glouftsios, G., School of International Studies, University of Trento, Trento, Italy","This article focuses on the Schengen Information System (SIS II)–the largest data infrastructure supporting police cooperation and border controls in the European Union. Through the SIS II, national authorities exchange information about individuals and objects, and this across national and institutional boundaries. Yet, the SIS II does not always perform as anticipated in its design scripts. Following common threads about infrastructural politics across Science and Technology Studies, political geography and critical security studies, we explore fragility and maintenance as being intrinsic to the functioning of data infrastructures and crucial sites of governance. We show how the SIS II is kept under continuous control to operate as a controlling data infrastructure. This article contributes to a critical inquiry into the datafication of border controls by interrogating how data acquire the status of allegedly credible and accurate information. Ultimately, this approach pinpoints the inherent fragility of seemingly mighty data infrastructures and casts a light on those actors and processes that sustain, through maintenance, contemporary digital borders. © 2020 Taylor & Francis Group, LLC.",,"border region; database; European Union; geopolitics; information system; police force; Europe","Bellanova, R.; Department of Political Science, Netherlands; email: georgios.glouftsios@unitn.it",,"Routledge",14650045,,GEOPF,,"English","Geopolit.",Article,"Final","",Scopus,2-s2.0-85095837210
"Glouftsios G.","57197773539;","Governing border security infrastructures: Maintaining large-scale information systems",2021,"Security Dialogue","52","5",,"452","470",,5,"10.1177/0967010620957230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094209777&doi=10.1177%2f0967010620957230&partnerID=40&md5=be6f310397b5bf0aaac1009e9fbf88ee","University of Trento, Italy","Glouftsios, G., University of Trento, Italy","This article explores the maintenance of large-scale information systems that are used for, among other purposes, border security in the European Union. My argument is that information systems do not always operate according to their design scripts. They materialize as unruly, unstable and failing infrastructures that are governed through maintenance in order to correct any identified functional anomalies and address potential future failures by adapting them to emerging technologies and the service needs of end-users (e.g. border guards, police). To conceptualize the maintenance labour through which information systems are governed, I synthesize ideas developed in Michel Foucault’s work on biopolitics and governmentality with contributions that explore the agentic forces and proclivities of technoscientific matter. By unearthing the very mechanics of maintenance processes, I make two contributions to the literature that interrogates the digitization and smartening of border security. First, I demonstrate that attending to maintenance permits a more complete understanding of the agency of information systems. Second, I broaden the research agenda that explores border security as practice by directing attention towards the often invisible, but politically significant, labour of maintainers who, by rendering information systems functional, sustain the power to govern international mobility by digital means. © The Author(s) 2020.","Border security; information systems; maintenance; Michel Foucault; New Materialisms",,"Glouftsios, G.; University of TrentoItaly; email: georgios.glouftsios@unitn.it",,"SAGE Publications Ltd",09670106,,SDIAE,,"English","Secur. Dialogue",Article,"Final","",Scopus,2-s2.0-85094209777
"Martin-Mazé M., Perret S.","56845788900;57221847265;","Designs of borders: Security, critique, and the machines",2021,"European Journal of International Security","6","3",,"278","300",,,"10.1017/eis.2021.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110260424&doi=10.1017%2feis.2021.8&partnerID=40&md5=d4bd032fb70fb12ab85f6532eddec1cb","Université Paris VIII Vincennes - Saint-Denis, LabToP-CRESPPA, France; King's College London, United Kingdom; Chair in Geopolitics of Risk, ENS Paris, France","Martin-Mazé, M., Université Paris VIII Vincennes - Saint-Denis, LabToP-CRESPPA, France; Perret, S., King's College London, United Kingdom, Chair in Geopolitics of Risk, ENS Paris, France","Over the past 15 years, the European Commission has poured millions of euros into Research and Development in border security. This article looks at the devices that are funded under this scheme. To this end, it applies Multiple Correspondence Analysis to a database of 41 projects funded under 7th Framework Programme. This method of data visualisation unearths the deep patterns of opposition that run across the sociotechnical universe where European borders are designed and created. We identify three rationalities of power at play: territorial surveillance aimed at detecting rare events in remote areas, policing of dense human flows by sorting out the benign from the dangerous, and finally global dataveillance of cargo on the move. Instead of trends towards either the hardening of borders or their virtualisation, we, therefore, find multiple rationalities of power simultaneously redefining the modalities of control at EU borders. A second finding shows where precisely critical actors are located in this sociotechnical universe and indicates that the structure of European R&D in border security keeps irregularised migrants off their radars. This finding calls for more caution as to the possibility to effectively put critique to work within the context of EU R&D. © The Author(s), 2021.","Border; Critique; European Union; Security Research; Technology",,"Martin-Mazé, M.; Université Paris VIII Vincennes - Saint-Denis, France; email: mederic.martin-maze@univ-paris8.fr",,"Cambridge University Press",20575637,,,,"English","Europ. J. Internat. Sec.",Review,"Final","",Scopus,2-s2.0-85110260424
"Demková S.","57238702600;","The decisional value of information in european semi-automated decision-making",2021,"Review of European Administrative Law","14","2",,"29","50",,,"10.7590/187479821X16254887670874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111698454&doi=10.7590%2f187479821X16254887670874&partnerID=40&md5=a94b0a4f2982a97c85356c96534ef1a3","University of Luxembourg, Faculty of Law, Economics and Finance, Luxembourg","Demková, S., University of Luxembourg, Faculty of Law, Economics and Finance, Luxembourg","This article asserts that the automated processing of information, such as via large-scale information systems in the Area of Freedom, Security and Justice (AFSJ), alters the 'value' of information from a means of assistance to a key decisional asset. Information in its different forms, whether paper-based or digital, has always been fundamental to decision-making conduct. Concretely, the premise holds that decisions shall be based on correct, full, and adequate knowledge and reasoning. Technological innovation has, however, magnified information capacities and significance. The article in that respect maintains that the 'decisional value' of automatically-processed information consequently also alters the nature of the respective decision-making - from a conventional type where the agent exercises discretion to a 'semi-automated' conduct in which automation inhibits the agent's decision-making capacity. The recognition of such transformation is necessary for the law to keep up with the technological progress and safeguard rights of individuals who are subjects of such semi-automated decisions. © 2021 Uitgeverij Paris. All right reserved.",,,"Demková, S.; University of Luxembourg, Luxembourg",,"Uitgeverij Paris",18747981,,,,"English","Rev Eur. Administrative. Law.",Article,"Final","",Scopus,2-s2.0-85111698454
"Blasi Casagran C.","57223128677;","Fundamental Rights Implications of Interconnecting Migration and Policing Databases in the EU",2021,"Human Rights Law Review","21","2",,"433","457",,2,"10.1093/hrlr/ngaa057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104939309&doi=10.1093%2fhrlr%2fngaa057&partnerID=40&md5=0995a65a12230eee37e2949d8b1409fe","Serra Húnter, Autonomous University of Barcelona, Spain","Blasi Casagran, C., Serra Húnter, Autonomous University of Barcelona, Spain","On 11 June 2019, two Interoperability European Union (EU) Regulations entered into force. With it, six existing EU databases created for security and border management purposes merged into one single, overarching EU information system operating with the purpose of changing the way front-line officers worked in various tasks. The main objective of these Regulations was to prevent and combat illegal immigration and to improve security within the Area of Freedom, Security and Justice of the Union. This article studies the challenges that have emerged from making EU databases and information systems 'interoperable' as well as the potential negative consequences that the Regulations may have for fundamental rights as enshrined in the EU Charter of Fundamental Rights. In particular, it examines whether the interoperability between EU information systems could violate the rights related to data protection, rights of the child, prohibition of discrimination as well as principles of necessity and proportionality. © 2021 The Author(s).","data protection; EU information systems; fundamental rights; interoperability; migration; security",,"Blasi Casagran, C.; Serra Húnter, Spain",,"Oxford University Press",14617781,,,,"English","Hum. Rights Law Rev.",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85104939309
"Kushnir I., Tsarenko O., Tsarenko S.","57222048718;57222039280;57222037378;","Legal and organizational problems on identification of persons in activities of the state border guard service of Ukraine",2021,"Juridical Tribune","11","1",,"113","130",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103925252&partnerID=40&md5=9b8c1a4eb9ac52d61b57022305697459","Bohdan Khmelnytskyi National Academy of the State Border Guard Service of Ukraine, Ukraine","Kushnir, I., Bohdan Khmelnytskyi National Academy of the State Border Guard Service of Ukraine, Ukraine; Tsarenko, O., Bohdan Khmelnytskyi National Academy of the State Border Guard Service of Ukraine, Ukraine; Tsarenko, S., Bohdan Khmelnytskyi National Academy of the State Border Guard Service of Ukraine, Ukraine","The article deals with the identification of foreigners and stateless persons, problems of legal regulation of relations of the State Border Guard Service of Ukraine on collecting biometric data of persons, types of data subject to collection, processing, storage and administration. The problems existing in the mechanisms of collecting biometric data of foreigners and stateless persons, as well as issues of personal data protection are considered. An attempt was made to suggest changes to laws and regulations in the field of migration and border protection on the basis of empirical data. The goal is to investigate the mechanism of identification of foreigners and stateless persons during border control procedures at border crossing points (checkpoints) and at entry-exit checkpoints, as well as during administrative proceedings and to identify ways to improve the legal regulation of these procedures in the activities of the State Border Guard Service of Ukraine. The methods used in the research were the analysis and comparison of national legislation with the legislation of the European Union Member States and the Council of Europe (including the case law of the European Court of Human Rights) on biometric data. The questionnaire survey method enabled to obtain objective information about the border guards' awareness of personal data. The forecasting method was used to formulate proposals for amendments to the legislation to improve the organization of work processes in the activities of the State Border Guard Service of Ukraine when using IT systems. The research will enable to improve the procedure for collecting biometric data of foreigners and stateless persons by border guards, strengthen the capacity of the State Border Guard Service of Ukraine to combat illegal migration. © 2021, Bucharest University of Economic Studies. All rights reserved.","Biometric systems; Data bases; Fingerprinting; Foreigners; Identification; State Border Guard Service of Ukraine; Stateless persons",,,,"Bucharest University of Economic Studies",22477195,,,,"English","Jur�d. Trib.",Article,"Final","",Scopus,2-s2.0-85103925252
"Potemkina O.Yu.","57194337656;","FOREIGN TERRORIST FIGHTERS AS A FACTOR OF SECURITIZATION OF THE EU MIGRATION POLICY",2021,"World Economy and International Relations","65","11",,"106","114",,,"10.20542/0131-2227-2021-65-11-106-114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123234923&doi=10.20542%2f0131-2227-2021-65-11-106-114&partnerID=40&md5=c53fcb09df8ca9892dd51785d3d2086b","Department of European integration research, Institute of Europe, Russian Academy of Science (IE RAS), 11-3, Mokhovaya Str, Moscow, 125009, Russian Federation","Potemkina, O.Yu., Department of European integration research, Institute of Europe, Russian Academy of Science (IE RAS), 11-3, Mokhovaya Str, Moscow, 125009, Russian Federation","The article analyzes the impact of the Foreign Terrorist Fighters’ (FTF) phenomenon on the securitization of the European Union’s migration policy. The author follows the construction of the FTF as a serious security threat to the European Union’s strategies and action plans, and demonstrates the EU’s practical actions to respond the threat: criminalization of “suspicious travel”, strengthening border security, preliminary screening of asylum seekers at the border. The article pays special attention to the EU plans to achieve compatibility of the European Union information systems, while emphasizing new opportunities for the law enforcement bodies to access migration databases for combating terrorism. Exploring the new EU integration plan for migrants, the author notes that this is for the first time that the European Commission focuses its efforts not only on migrants, but also on the EU citizens with “migratory background”, which is undoubtedly dictated by a fear of the extremist ideology influence on young people. The article exposes certain similarities between the Commission’s methods to coordinate integration and inclusion of migrants, reintegration of the FTF and their families, which indicates that the migration policy is becoming a part of the EU security policy. That leads to a conclusion that securitization of migration policy aims not only and not so much at preventing the potential threat of the returnees’ terrorist activities, but at curbing migration flows as a whole and reducing the number of asylum seekers, in particular. Nevertheless, terrorism and migration seem to be closely linked in public discourse, despite the absence of an empirical basis to conclude that these factors directly influence each other. The author considers the most difficult problem of modern migration policy to be the definition of the red line beyond which its securitization can be justified. © 2021 Olga Yu. POTEMKINA,.","Border security; Foreign terrorist fighters; Information systems; Integration; Migration policy; Securitization",,"Potemkina, O.Yu.; Department of European integration research, 11-3, Mokhovaya Str, Russian Federation; email: olga_potemkina@mail.ru",,"Russian Academy of Sciences",01312227,,,,"Russian","World Economy Int. Relat.",Article,"Final","",Scopus,2-s2.0-85123234923
"Brouwer E.","10539285300;","Schengen and the Administration of Exclusion: Legal Remedies Caught in Between Entry Bans, Risk Assessment and Artificial Intelligence",2021,"European Journal of Migration and Law","23","4",,"485","507",,,"10.1163/15718166-12340115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122804005&doi=10.1163%2f15718166-12340115&partnerID=40&md5=b1d7fd4bccf91908f5ebb8b81dc12346","Institute of Jurisprudence, Constitutional Law and Administrative Law - Montaigne Centre for Rule of Law and Administration of Justice, Utrecht University, Utrecht, Netherlands","Brouwer, E., Institute of Jurisprudence, Constitutional Law and Administrative Law - Montaigne Centre for Rule of Law and Administration of Justice, Utrecht University, Utrecht, Netherlands","To create an area in which persons can move freely, the Schengen states committed to control their external borders to prevent irregular immigration and the entry of third-country nationals (TCNs) who are considered to be 'a public order and security risk'. The exclusion of 'unwanted aliens' can be based on the mutual enforcement of national decisions, such as entry bans reported in the Schengen Information System, or objections against the issuing of a Schengen visa, based on the consultation procedure in the Visa Code. This contribution focuses on the right of TCNs to have access to effective remedies, both with regard to existing and newer mechanisms of exclusion. It argues that when dealing with the use of large-scale databases and risk assessment as basis for excluding admission, existing rules and case-law by the CJEU should be taken into account to ensure access to effective judicial protection for TCNs. © Evelien Brouwer, 2021","Algorithms; Artificial intelligence; ECRIS-TCN; Effective remedy; Entry bans; ETIAS; Mutual trust; Risk assessment; SIS II; Visa code",,"Brouwer, E.; Institute of Jurisprudence, Netherlands; email: e.r.brouwer@uu.nl",,"Brill Nijhoff",1388364X,,,,"English","Eur. J. Migr. Law",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85122804005
"Vavoula N.","56724218500;","Artificial Intelligence (AI) at Schengen Borders: Automated Processing, Algorithmic Profiling and Facial Recognition in the Era of Techno-Solutionism",2021,"European Journal of Migration and Law","23","4",,"457","484",,,"10.1163/15718166-12340114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122797081&doi=10.1163%2f15718166-12340114&partnerID=40&md5=f54ba74e409aedbd99d35303bda8bcdd","Department of Law, Queen Mary University of London, London, United Kingdom","Vavoula, N., Department of Law, Queen Mary University of London, London, United Kingdom","Since the past three decades, an elaborate legal framework on the operation of EU-Schengen information systems has been developed, whereby in the near future a series of personal data concerning almost all third-country nationals (TCNs) with an administrative or criminal law link with the EU/Schengen area will be monitored through at least one information system. This article provides a legal analysis on the embedment of Artificial Intelligence (AI) tools at the EU level in information systems for TCNs and critically examines the fundamental rights concerns that ensue from the use AI to manage and control migration. It discusses automated risk assessment and algorithmic profiling used to examine applications for travel authorisations and Schengen visas, the shift towards the processing of facial images of TCNs and the creation of future-proof information systems that anticipate the use of facial recognition technology. The contribution understands information systems as enabling the datafication of mobility and as security tools in an era whereby a foreigner is risky by default. It is argued that a violation of the right to respect for private life is merely the gateway for a series of other fundamental rights which are impacted, such as nondiscrimination and right to effective remedies. © Koninklijke Brill NV, Leiden, 2021","Borders; Data protection; Discrimination; Fundamental rights; Information systems; Migration management",,"Vavoula, N.; Department of Law, United Kingdom; email: n.vavoula@qmul.ac.uk",,"Brill Nijhoff",1388364X,,,,"English","Eur. J. Migr. Law",Article,"Final","",Scopus,2-s2.0-85122797081
