Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Galis V., Makrygianni V.","35075836500;56081792000;","Analog flows in digital worlds: ‘Migration multiples’ and digital heterotopias in Greek territory",2022,"Political Geography","95",,"102599","","",,,"10.1016/j.polgeo.2022.102599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122968511&doi=10.1016%2fj.polgeo.2022.102599&partnerID=40&md5=e7d94b860b57461df368308411888f5c","IT University of Copenhagen, Denmark","Galis, V., IT University of Copenhagen, Denmark; Makrygianni, V., IT University of Copenhagen, Denmark","Migrants' engagement with Information and Communications Technologies (ICTs) reveals a wide spectrum of resistance practices that enact “heterotopias” (Foucault, 1967) that extend from the human body to transnational landscapes (Gillespie et al., 2016). This paper enhances the theoretical debate on migration with new ways of understanding borders and space as fluid, autonomous, and provisional linkages between humans and nonhumans. Based on findings from field research conducted in Greece, it aims to discuss how migrants' digital practices generate new spaces and materialities. Attending to the making of migrants’-ICTs intertwining it examines the emergence of unbordering practices, the creation of crucial solidarity networks and the risks and limitations that emerge when using ICTs. Finally, the paper highlights the recent migratory influx not simply as a result of neoliberal doctrines, but (also) as an act of disobedience to fortress Europe through the creation of digital-urban heterotopias through the lenses of Migration Studies, Science and Technology Studies and Critical spatial theory. © 2022 Elsevier Ltd","Heterotopia; ICTs; Migration; Multiple; Space","digital image; immigrant; information and communication technology; innovation; population migration; technological development; Greece",,,,,,,,,,,,"Galis, V.; IT University of CopenhagenDenmark; email: vasilis.galis@gmail.com",,"Elsevier Ltd",09626298,,,,"English","Polit. Geogr.",Article,"Final","",Scopus,2-s2.0-85122968511
"Russo A., Stambol E.M.","57192297808;56724175700;","The external dimension of the EU's fight against transnational crime: Transferring political rationalities of crime control",2022,"Review of International Studies","48","2",,"326","345",,1,"10.1017/S0260210521000358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108456342&doi=10.1017%2fS0260210521000358&partnerID=40&md5=95786edb1eab28243afa2660afb8ba3f","School of International Studies, Department of Sociology and Social Research, University of Trento, Italy; Otto Suhr Institute for Political Science, Freie Universität Berlin, Germany","Russo, A., School of International Studies, Department of Sociology and Social Research, University of Trento, Italy; Stambol, E.M., Otto Suhr Institute for Political Science, Freie Universität Berlin, Germany","The article constitutes the first comprehensive review of the EU's export of crime control policies and 'aid to internal security' across regions over the last 15 years. Drawing on both International Relations and criminology, it develops an analytical framework to identify the political rationalities and technologies of crime control that the EU attempts to transfer across the Eastern and Southern (extended) neighbourhoods. By scrutinising 216 projects aimed at combating transnational crime beyond Europe's borders, spanning law enforcement, border security, criminal justice, and the penitentiary sector, the empirical analysis is geared towards detecting and systematising the ways of thinking and doing crime control that the EU seeks to promote and export. Moreover, it investigates the 'action at a distance' whereby it does so. It is argued that in shaping third countries' ability to criminalise, police, indict, convict, and punish, the EU is simultaneously defining its own security actorness, specifically consolidating its role as a 'global crime fighter'. Copyright © 2021 The Author(s).","Crime Control; EU Neighbourhood; EU Security; External Dimension of Justice and Home Affairs; Transnational Organised Crime",,,,,,,,,,,,,"Russo, A.; School of International Studies, Italy; email: alessandra.russo@unitn.it
Stambol, E.M.; Otto Suhr Institute for Political Science, Germany; email: e.m.stambol@fu-berlin.de",,"Cambridge University Press",02602105,,,,"English","Rev. Int. Stud.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85108456342
"Ferraris V.","57207860371;","Entangled in the technology-driven borderscape: Border crossers rendered to their digital self",2022,"European Journal of Criminology",,,,"","",,,"10.1177/14773708221086717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126299528&doi=10.1177%2f14773708221086717&partnerID=40&md5=96e590f74365dd64cd3e0ea0b72fd4f8","Law Department, University of Turin, Italy","Ferraris, V., Law Department, University of Turin, Italy","EU management of migration is undergoing an unprecedented transformation because of the use of databases and information systems. Drawing on the concept of border performativity, this article discusses how data is transforming the border. In particular, the article focuses on 1) how the EU JHA databases are evolving, from separate systems each with one purpose to multi-purpose databases, and 2) how the new EU plan – the interoperability regulation – connects and merges biometric and biographical data, as part of a shift from a silo-based approach towards a single centralised information system. The article - based on results of several research projects carried out between 2011 and 2019 adopting mixed methodology - discusses the border crossers’ role in challenging this digital border control, both in light of the current practices of data collection and processing and newly approved EU regulations. The article argues that the transformation of border control practices into practices driven by data processing makes it more difficult for border crossers to manoeuvre the system and legally challenge decisions based on data processing, thus, hampering the transformation of the border from below. © The Author(s) 2022.","borders; crimmigration; databases; European union; technology",,,,,,,,,,,,,"Ferraris, V.; Law Department, Italy; email: valeria.ferraris@unito.it",,"SAGE Publications Inc.",14773708,,,,"English","Eur. J. Criminol.",Article,"Article in Press","",Scopus,2-s2.0-85126299528
"Bellanova R., Glouftsios G.","36343448300;57197773539;","Controlling the Schengen Information System (SIS II): The Infrastructural Politics of Fragility and Maintenance",2022,"Geopolitics","27","1",,"160","184",,4,"10.1080/14650045.2020.1830765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095837210&doi=10.1080%2f14650045.2020.1830765&partnerID=40&md5=8640be9ca492993421362b00a8dfe3e5","Department of Political Science, University of Amsterdam, Amsterdam, Netherlands; School of International Studies, University of Trento, Trento, Italy","Bellanova, R., Department of Political Science, University of Amsterdam, Amsterdam, Netherlands; Glouftsios, G., School of International Studies, University of Trento, Trento, Italy","This article focuses on the Schengen Information System (SIS II)–the largest data infrastructure supporting police cooperation and border controls in the European Union. Through the SIS II, national authorities exchange information about individuals and objects, and this across national and institutional boundaries. Yet, the SIS II does not always perform as anticipated in its design scripts. Following common threads about infrastructural politics across Science and Technology Studies, political geography and critical security studies, we explore fragility and maintenance as being intrinsic to the functioning of data infrastructures and crucial sites of governance. We show how the SIS II is kept under continuous control to operate as a controlling data infrastructure. This article contributes to a critical inquiry into the datafication of border controls by interrogating how data acquire the status of allegedly credible and accurate information. Ultimately, this approach pinpoints the inherent fragility of seemingly mighty data infrastructures and casts a light on those actors and processes that sustain, through maintenance, contemporary digital borders. © 2020 Taylor & Francis Group, LLC.",,"border region; database; European Union; geopolitics; information system; police force; Europe","Horizon 2020 Framework Programme, H2020: 682317; Leverhulme Trust: 2014-097; European Research Council, ERC; Università degli Studi di Trento, UNITN","Rocco Bellanova?s work was carried out in the framework of the research project ?FOLLOW: Following the Money from Transaction to Trial?, funded by the European Research Council, Grant No. ERC-2015-CoG 682317. Georgios Glouftsios?s research has been funded by the Leverhulme Trust (grant number 2014-097) and the School of International Studies at the University of Trento (project STERI: Science, Technology and International Relations) We would like to thank Geopolitics? Editors, especially Nancy Hiemstra, for taking care of the review process in the middle of a pandemic, as well as the three anonymous reviewers for their constructive comments. We would also like to thank the?Special Issue?s Guest Editors? Matthias Leese, Stephan Scheel and Simon Noori?as well as Emily Gilbert, Beste ??leyen, Silvia Aru and Annalisa Pelizza (and the ?Processing Citizenship? project?s team) for their feedback on previous versions of this article.",,,,,,,,,,"Bellanova, R.; Department of Political Science, Netherlands; email: georgios.glouftsios@unitn.it",,"Routledge",14650045,,GEOPF,,"English","Geopolit.",Article,"Final","",Scopus,2-s2.0-85095837210
"Sánchez-Monedero J., Dencik L.","57217862239;55807285900;","The politics of deceptive borders: ‘biomarkers of deceit’ and the case of iBorderCtrl",2022,"Information Communication and Society","25","3",,"413","430",,7,"10.1080/1369118X.2020.1792530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088966575&doi=10.1080%2f1369118X.2020.1792530&partnerID=40&md5=387c9e144d46bf72d11837952fdc0db0","School of Journalism, Media and Culture, Cardiff University, Cardiff, United Kingdom","Sánchez-Monedero, J., School of Journalism, Media and Culture, Cardiff University, Cardiff, United Kingdom; Dencik, L., School of Journalism, Media and Culture, Cardiff University, Cardiff, United Kingdom","This paper critically examines a recently developed proposal for a border control system called iBorderCtrl, designed to detect deception based on facial recognition technology and the measurement of micro-expressions, termed ‘biomarkers of deceit’. Funded under the European Commission’s Horizon 2020 programme, the system is analysed in relation to the wider political economy of ‘emotional AI’ and the history of deception detection technologies. We then move on to interrogate the design of iBorderCtrl using publicly available documents and assess the assumptions and scientific validation underpinning the project design. Finally, drawing on a Bayesian analysis we outline statistical fallacies in the foundational premise of mass screening and argue that it is very unlikely that the model that iBorderCtrl provides for deception detection would work in practice. By interrogating actual systems in this way, we argue that we can begin to question the very premise of the development of data-driven systems, and emotional AI and deception detection in particular, pushing back on the assumption that these systems are fulfilling the tasks they claim to be attending to and instead ask what function such projects carry out in the creation of subjects and management of populations. This function is not merely technical but, rather, we argue, distinctly political and forms part of a mode of governance increasingly shaping life opportunities and fundamental rights. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","affective computing; deception detection; lie detection; machine learning; migration; Smart borders",,"Manchester Metropolitan University, MMU; Horizon 2020 Framework Programme, H2020: 759903; European Research Council, ERC","This work was supported by a Starting Grant from the European Research Council (ERC) under grant number 759903. We are grateful to two anonymous reviewers as well as Vera Wilde, Andrew McStay and Nello Cristianini for their comments on earlier drafts of this article.","The socio-technical assemblage that now makes up border regimes, what Pötzsch () aptly refers to as the advent of the ‘iBorder’ as a way to articulate the dispersal of the border into remote, algorithmic decisions capable of determining risks, serves as an important setting for the development of iBorderCtrl. Proposed by researchers at Manchester Metropolitan University in the UK, the iBorderCtrl project has been supported by a €4.5 million research grant under the Horizon2020 programme at the European Research Council. It continues a long-standing history of EU-funded security technology, not least in the context of border control and migration management, that has gained further prominence with the growing enthusiasm for the potentials of ML and AI. Significantly, there have been concerns about a lack of transparency surrounding the processes and details of the iBorderCtrl project, including ethics questions and the relationship between the research team and private companies on the project (Gallagher & Jona, ; Wilde, ).",,,,,,,,,"Sánchez-Monedero, J.; School of Journalism, United Kingdom; email: sanchez-monederoj@cardiff.ac.uk",,"Routledge",1369118X,,,,"English","Inf. Commun. Soc.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85088966575
"Glouftsios G.","57197773539;","Governing border security infrastructures: Maintaining large-scale information systems",2021,"Security Dialogue","52","5",,"452","470",,5,"10.1177/0967010620957230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094209777&doi=10.1177%2f0967010620957230&partnerID=40&md5=be6f310397b5bf0aaac1009e9fbf88ee","University of Trento, Italy","Glouftsios, G., University of Trento, Italy","This article explores the maintenance of large-scale information systems that are used for, among other purposes, border security in the European Union. My argument is that information systems do not always operate according to their design scripts. They materialize as unruly, unstable and failing infrastructures that are governed through maintenance in order to correct any identified functional anomalies and address potential future failures by adapting them to emerging technologies and the service needs of end-users (e.g. border guards, police). To conceptualize the maintenance labour through which information systems are governed, I synthesize ideas developed in Michel Foucault’s work on biopolitics and governmentality with contributions that explore the agentic forces and proclivities of technoscientific matter. By unearthing the very mechanics of maintenance processes, I make two contributions to the literature that interrogates the digitization and smartening of border security. First, I demonstrate that attending to maintenance permits a more complete understanding of the agency of information systems. Second, I broaden the research agenda that explores border security as practice by directing attention towards the often invisible, but politically significant, labour of maintainers who, by rendering information systems functional, sustain the power to govern international mobility by digital means. © The Author(s) 2020.","Border security; information systems; maintenance; Michel Foucault; New Materialisms",,"Leverhulme Trust: 2014-097; Università degli Studi di Trento, UNITN","The author disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This research has been funded by the Leverhulme Trust (grant number 2014-097) and the School of International Studies at the University of Trento (project STERI: Science, Technology and International Relations).","I am truly grateful to Debbie Lisle, Rocco Bellanova and Peter Forman for their valuable feedback on previous versions of this article. I would also like to thank William Walters and Michael Bourne for engaging constructively with my doctoral dissertation, which is directly related to the topic of this article. Last but not least, I would like to thank the two anonymous reviewers, as well as Emily Gilbert, for their kind, thoughtful and constructive comments. The author disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This research has been funded by the Leverhulme Trust (grant number 2014-097) and the School of International Studies at the University of Trento (project STERI: Science, Technology and International Relations).",,,,,,,,,"Glouftsios, G.; University of TrentoItaly; email: georgios.glouftsios@unitn.it",,"SAGE Publications Ltd",09670106,,SDIAE,,"English","Secur. Dialogue",Article,"Final","",Scopus,2-s2.0-85094209777
"Gundhus H.O.I.","10145126900;","Shaping migrants as threats: Multilayered discretion, criminalization, and risk assessment tools",2021,"International Journal for Crime, Justice and Social Democracy","10","3",,"56","71",,,"10.5204/IJCJSD.2041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114674077&doi=10.5204%2fIJCJSD.2041&partnerID=40&md5=16aa33e10fc332b3e045bdb61b0adffd","University of Oslo, Norwegian Police University College, Norway","Gundhus, H.O.I., University of Oslo, Norwegian Police University College, Norway","This article examines Operation Migrant, initiated by the Norwegian police following the so-called migration crises in Europe in 2015. One of its central aims was, by predicting challenges related to increased migration, to improve resource allocation and prevent crime. By drawing on research on risk and threat assessment as a form of power, this article aims to analyze how risk categories are distributed and translated into a multilayered institutional arrangement where migration is policed as a potential crime. The article examines the indicators that the risk assessments are based on, and the measures applied and investigates how discretionary practices make immigrants objects for law enforcement and policing. The article contributes to research on migration control in an ordinary police context, where immigration identity checks become part of the crime reduction strategy. Applying the concept of interpretive flexibility (Collins 1981), I will identify the steps in this chain of translation to explore the leap from targeting potentially criminal asylum seekers to targeting broader groups with temporary residency in Norway. The article analyzes the conditions determining how policing, technologies, and migrants are ""co-constructed"" in a chain of mediation and translation, which reinforces the view of migrants as risky and criminal. The final section discusses how risk and threat analysis is affected by the notion of the ""crimmigrant other"" (Franko 2020). In Norway, selectively targeting unwanted migrants as criminals has become dominant in police decision-making at a policy level and everyday practices affecting not only third country nationals but also unwanted eastern Europeans. © 2021 Queensland University of Technology. All rights reserved.","Crimmigrant other; Discretion; Policing migration; Predictive policing; Risk assessment",,"Norges Forskningsråd: 238170","The research was supported by Norwegian Research Council grants: 238170 New Trends in Modern",,,,,,,,,,"Gundhus, H.O.I.; University of Oslo, P.O. box 6706, St. Olavs plass, Norway; email: h.o.i.gundhus@jus.uio.no",,"Queensland University of Technology",22027998,,,,"English","Int. J. Crime Justice Soc. democr.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85114674077
"Martin-Mazé M., Perret S.","56845788900;57221847265;","Designs of borders: Security, critique, and the machines",2021,"European Journal of International Security","6","3",,"278","300",,,"10.1017/eis.2021.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110260424&doi=10.1017%2feis.2021.8&partnerID=40&md5=d4bd032fb70fb12ab85f6532eddec1cb","Université Paris VIII Vincennes - Saint-Denis, LabToP-CRESPPA, France; King's College London, United Kingdom; Chair in Geopolitics of Risk, ENS Paris, France","Martin-Mazé, M., Université Paris VIII Vincennes - Saint-Denis, LabToP-CRESPPA, France; Perret, S., King's College London, United Kingdom, Chair in Geopolitics of Risk, ENS Paris, France","Over the past 15 years, the European Commission has poured millions of euros into Research and Development in border security. This article looks at the devices that are funded under this scheme. To this end, it applies Multiple Correspondence Analysis to a database of 41 projects funded under 7th Framework Programme. This method of data visualisation unearths the deep patterns of opposition that run across the sociotechnical universe where European borders are designed and created. We identify three rationalities of power at play: territorial surveillance aimed at detecting rare events in remote areas, policing of dense human flows by sorting out the benign from the dangerous, and finally global dataveillance of cargo on the move. Instead of trends towards either the hardening of borders or their virtualisation, we, therefore, find multiple rationalities of power simultaneously redefining the modalities of control at EU borders. A second finding shows where precisely critical actors are located in this sociotechnical universe and indicates that the structure of European R&D in border security keeps irregularised migrants off their radars. This finding calls for more caution as to the possibility to effectively put critique to work within the context of EU R&D. © The Author(s), 2021.","Border; Critique; European Union; Security Research; Technology",,"European Commission, EC","This section harks back to the possibility of critique in the context of EU security R&D that the first section touched upon. To this end, it locates SHS scholars and activists in the sociotechnical universe wherein bordering devices are designed with the financial support of the European Commission. We focus on members of non-governmental organisations and SHS scholars (Figures 8 and 9) because they provide a good proxy for critically minded actors. Even though they do not hold a monopoly over critical capacity, such actors are often invited to participate in these projects for the critical voices that they may bring to the table.",,,,,,,,,,"Martin-Mazé, M.; Université Paris VIII Vincennes - Saint-Denis, France; email: mederic.martin-maze@univ-paris8.fr",,"Cambridge University Press",20575637,,,,"English","Europ. J. Internat. Sec.",Review,"Final","",Scopus,2-s2.0-85110260424
"Papoutsi A.","57185545000;","Temporal bordering in the space of the camp: Producing and contesting abandonment in Skaramagas and Elaionas camps in Athens",2021,"Political Geography","89",,"102423","","",,,"10.1016/j.polgeo.2021.102423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109045103&doi=10.1016%2fj.polgeo.2021.102423&partnerID=40&md5=22fda09f2dd31c191d1d2ea006ecc78c","IRiS, School of Social Policy, University of Birmingham, Edgbaston, B15 2TT, United Kingdom","Papoutsi, A., IRiS, School of Social Policy, University of Birmingham, Edgbaston, B15 2TT, United Kingdom","This paper focuses on the temporalities of camps and the ways in which abandonment is produced within them through the deployment of temporal bordering practices. It presents empirical ethnographic evidence, gathered between January and June 2017, from Skaramagas and Elaionas camps in Athens. Although intended as temporary humanitarian solutions, many migrants have remained in them for long periods, stuck in a state of temporariness. Camps have been studied extensively through the lens of biopolitics as spaces of abandonment and abjectification. More recently, a growing body of literature is highlighting the everyday micro-politics and tactics of belonging that take place within them. Drawing on the latter, I shed light on the temporal aspects of border control involved in camps, arguing that camps provide a temporal, rather than only spatial, technology that governs encamped migrants through the administration of their time. Thus, the camp governs the critical moment between reception and in/exclusion from the polity. Yet, as I show, within this condition of semi-permanence and semi-presence, camp residents, through the practice of everyday life, being present and visible, create places and give new meanings to existing ones. If the border is enacted through the imposed temporalities of the camp, then its subversion can be found in these everyday place-making tactics. Looking into these micro-practices, this paper contributes to the above debates by exploring camps as temporal technologies of control. © 2021 Elsevier Ltd","Abandonment; Athens; Border temporalities; Borders; Camp geographies; Camps; Elaionas; Ethnography; EU border Regime; Everyday bordering; Governance; Micro-practices; Place-making; Resistance; Skaramagas; Subversion","border region; ethnography; European Union; governance approach; temporal analysis; Athens [Attica]; Attica; Greece","Economic and Social Research Council, ESRC: 1632637","This work was supported by the Economic and Social Research Council [Award Reference 1632637 ].",,,,,,,,,,,,"Elsevier Ltd",09626298,,,,"English","Polit. Geogr.",Article,"Final","",Scopus,2-s2.0-85109045103
"Demková S.","57238702600;","The decisional value of information in european semi-automated decision-making",2021,"Review of European Administrative Law","14","2",,"29","50",,,"10.7590/187479821X16254887670874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111698454&doi=10.7590%2f187479821X16254887670874&partnerID=40&md5=a94b0a4f2982a97c85356c96534ef1a3","University of Luxembourg, Faculty of Law, Economics and Finance, Luxembourg","Demková, S., University of Luxembourg, Faculty of Law, Economics and Finance, Luxembourg","This article asserts that the automated processing of information, such as via large-scale information systems in the Area of Freedom, Security and Justice (AFSJ), alters the 'value' of information from a means of assistance to a key decisional asset. Information in its different forms, whether paper-based or digital, has always been fundamental to decision-making conduct. Concretely, the premise holds that decisions shall be based on correct, full, and adequate knowledge and reasoning. Technological innovation has, however, magnified information capacities and significance. The article in that respect maintains that the 'decisional value' of automatically-processed information consequently also alters the nature of the respective decision-making - from a conventional type where the agent exercises discretion to a 'semi-automated' conduct in which automation inhibits the agent's decision-making capacity. The recognition of such transformation is necessary for the law to keep up with the technological progress and safeguard rights of individuals who are subjects of such semi-automated decisions. © 2021 Uitgeverij Paris. All right reserved.",,,"Fonds National de la Recherche Luxembourg, FNR","Supported by the Luxembourg National Research Fund (FNR) – 10965388/Soutenu par le Fonds National de la Recherche, Luxembourg (FNR) – 10965388 Clevend describes information as ‘the dominant resource in “post-industrial society”’: H Cleveland, ‘The Twilight of Hierarchy: Speculations on the Global Information Society’ (1985) 45 Public Administration Review 185, 185. See also ‘Advanced Research Projects Agency Network’ in D Ince (ed), A Dictionary of the Internet (Oxford University Press 2019) <www.ox-fordreference.com/view/10.1093/acref/9780191884276.001.0001/acref-9780191884276-e-65> accessed 28 February 2021.",,,,,,,,,,"Demková, S.; University of Luxembourg, Luxembourg",,"Uitgeverij Paris",18747981,,,,"English","Rev Eur. Administrative. Law.",Article,"Final","",Scopus,2-s2.0-85111698454
