Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Galis V., Makrygianni V.","35075836500;56081792000;","Analog flows in digital worlds: ‘Migration multiples’ and digital heterotopias in Greek territory",2022,"Political Geography","95",,"102599","","",,,"10.1016/j.polgeo.2022.102599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122968511&doi=10.1016%2fj.polgeo.2022.102599&partnerID=40&md5=e7d94b860b57461df368308411888f5c","IT University of Copenhagen, Denmark","Galis, V., IT University of Copenhagen, Denmark; Makrygianni, V., IT University of Copenhagen, Denmark","Migrants' engagement with Information and Communications Technologies (ICTs) reveals a wide spectrum of resistance practices that enact “heterotopias” (Foucault, 1967) that extend from the human body to transnational landscapes (Gillespie et al., 2016). This paper enhances the theoretical debate on migration with new ways of understanding borders and space as fluid, autonomous, and provisional linkages between humans and nonhumans. Based on findings from field research conducted in Greece, it aims to discuss how migrants' digital practices generate new spaces and materialities. Attending to the making of migrants’-ICTs intertwining it examines the emergence of unbordering practices, the creation of crucial solidarity networks and the risks and limitations that emerge when using ICTs. Finally, the paper highlights the recent migratory influx not simply as a result of neoliberal doctrines, but (also) as an act of disobedience to fortress Europe through the creation of digital-urban heterotopias through the lenses of Migration Studies, Science and Technology Studies and Critical spatial theory. © 2022 Elsevier Ltd","Heterotopia; ICTs; Migration; Multiple; Space","digital image; immigrant; information and communication technology; innovation; population migration; technological development; Greece",Article,"Final","",Scopus,2-s2.0-85122968511
"Russo A., Stambol E.M.","57192297808;56724175700;","The external dimension of the EU's fight against transnational crime: Transferring political rationalities of crime control",2022,"Review of International Studies","48","2",,"326","345",,1,"10.1017/S0260210521000358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108456342&doi=10.1017%2fS0260210521000358&partnerID=40&md5=95786edb1eab28243afa2660afb8ba3f","School of International Studies, Department of Sociology and Social Research, University of Trento, Italy; Otto Suhr Institute for Political Science, Freie Universität Berlin, Germany","Russo, A., School of International Studies, Department of Sociology and Social Research, University of Trento, Italy; Stambol, E.M., Otto Suhr Institute for Political Science, Freie Universität Berlin, Germany","The article constitutes the first comprehensive review of the EU's export of crime control policies and 'aid to internal security' across regions over the last 15 years. Drawing on both International Relations and criminology, it develops an analytical framework to identify the political rationalities and technologies of crime control that the EU attempts to transfer across the Eastern and Southern (extended) neighbourhoods. By scrutinising 216 projects aimed at combating transnational crime beyond Europe's borders, spanning law enforcement, border security, criminal justice, and the penitentiary sector, the empirical analysis is geared towards detecting and systematising the ways of thinking and doing crime control that the EU seeks to promote and export. Moreover, it investigates the 'action at a distance' whereby it does so. It is argued that in shaping third countries' ability to criminalise, police, indict, convict, and punish, the EU is simultaneously defining its own security actorness, specifically consolidating its role as a 'global crime fighter'. Copyright © 2021 The Author(s).","Crime Control; EU Neighbourhood; EU Security; External Dimension of Justice and Home Affairs; Transnational Organised Crime",,Article,"Final","",Scopus,2-s2.0-85108456342
"Papaioannou M., Zachos G., Essop I., Mantas G., Rodriguez J.","57205368147;57222081791;57130927500;6506030571;16025343100;","Towards a Secure and Usable User Authentication for Mobile Passenger ID Devices for Land/Sea Border Control",2022,"IEEE Access",,,,"","",,,"10.1109/ACCESS.2022.3164245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127515253&doi=10.1109%2fACCESS.2022.3164245&partnerID=40&md5=da227ed56b0bd09cb84071bdc339b785","Instituto de Telecomunica&#x00E7;&#x00F5;es, P-3810-193 Aveiro, Portugal and Faculty of Engineering and Science, University of Greenwich, ME4 4TB Chatham Maritime, UK.; Faculty of Engineering and Science, University of Greenwich, ME4 4TB Chatham Maritime, UK.; Instituto de Telecomunica&#x00E7;&#x00F5;es, P-3810-193 Aveiro, Portugal and Faculty of Computing, Engineering and Science, University of South Wales, CF37 Pontypridd, UK.","Papaioannou, M., Instituto de Telecomunica&#x00E7;&#x00F5;es, P-3810-193 Aveiro, Portugal and Faculty of Engineering and Science, University of Greenwich, ME4 4TB Chatham Maritime, UK.; Zachos, G., Instituto de Telecomunica&#x00E7;&#x00F5;es, P-3810-193 Aveiro, Portugal and Faculty of Engineering and Science, University of Greenwich, ME4 4TB Chatham Maritime, UK.; Essop, I., Faculty of Engineering and Science, University of Greenwich, ME4 4TB Chatham Maritime, UK.; Mantas, G., Instituto de Telecomunica&#x00E7;&#x00F5;es, P-3810-193 Aveiro, Portugal and Faculty of Engineering and Science, University of Greenwich, ME4 4TB Chatham Maritime, UK.; Rodriguez, J., Instituto de Telecomunica&#x00E7;&#x00F5;es, P-3810-193 Aveiro, Portugal and Faculty of Computing, Engineering and Science, University of South Wales, CF37 Pontypridd, UK.","Nowadays the critical sector of transport becomes progressively more dependent on digital technologies to perform essential activities and develop novel efficient transport services and infrastructure to empower economic and social cohesion exploiting the economic strengths of the European Union (EU). However, although the continuously increasing number of visitors, entering the EU through land-border crossing points or seaports, brings immense economic value, novel border control solutions, such as mobile devices for passenger identification for land/sea border control, are essential to precisely identify passengers &#x201C;on the fly&#x201D; ensuring their comfort. Nevertheless, these devices are expected to handle highly confidential personal data and thus, it is very likely to become an attractive target to malicious actors. Therefore, to ensure high level of device security without interrupting border control activities, strong secure and usable user authentication mechanisms are required. Towards this direction, we, firstly, discuss risk-based and adaptive authentication for mobile devices as a suitable approach to deal with the security vs. usability challenge and a novel risk-based adaptive user authentication mechanism is proposed to address this challenge. Afterwards, a set of popular Machine Learning (ML) classification algorithms for risk-based authentication was tested and evaluated on the HuMIdb (Human Mobile Interaction database) dataset to identify the most appropriate ones for the proposed mechanism. The evaluation results demonstrated impact of overfitting (i.e., accuracy: 1,0000) and therefore, we considered novelty detection algorithms to overcome this challenge and demonstrate high performance. To the best of our knowledge, this is the first time that novelty detection algorithms have been considered for risk-based adaptive user authentication showing promising results (OneClassSVM 0,9536, LOF 0,9740, KNN&#x005F;average 0,9998). Author","adaptive user authentication; border control security; Licenses; mobile passenger ID devices; risk-based user authentication","Classification (of information); Cryptography; Digital devices; Machine learning; Signal detection; Adaptive user authentication; Border control; Border control security; Control security; License; Mobile passenger ID device; Risk-based; Risk-based user authentication; User authentication; Authentication",Article,"Article in Press","",Scopus,2-s2.0-85127515253
"Ferraris V.","57207860371;","Entangled in the technology-driven borderscape: Border crossers rendered to their digital self",2022,"European Journal of Criminology",,,,"","",,,"10.1177/14773708221086717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126299528&doi=10.1177%2f14773708221086717&partnerID=40&md5=96e590f74365dd64cd3e0ea0b72fd4f8","Law Department, University of Turin, Italy","Ferraris, V., Law Department, University of Turin, Italy","EU management of migration is undergoing an unprecedented transformation because of the use of databases and information systems. Drawing on the concept of border performativity, this article discusses how data is transforming the border. In particular, the article focuses on 1) how the EU JHA databases are evolving, from separate systems each with one purpose to multi-purpose databases, and 2) how the new EU plan – the interoperability regulation – connects and merges biometric and biographical data, as part of a shift from a silo-based approach towards a single centralised information system. The article - based on results of several research projects carried out between 2011 and 2019 adopting mixed methodology - discusses the border crossers’ role in challenging this digital border control, both in light of the current practices of data collection and processing and newly approved EU regulations. The article argues that the transformation of border control practices into practices driven by data processing makes it more difficult for border crossers to manoeuvre the system and legally challenge decisions based on data processing, thus, hampering the transformation of the border from below. © The Author(s) 2022.","borders; crimmigration; databases; European union; technology",,Article,"Article in Press","",Scopus,2-s2.0-85126299528
"Donko K., Doevenspeck M., Beisel U.","57345691000;55894010600;35774361900;","Migration Control, the Local Economy and Violence in the Burkina Faso and Niger Borderland",2022,"Journal of Borderlands Studies","37","2",,"235","251",,1,"10.1080/08865655.2021.1997629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119360194&doi=10.1080%2f08865655.2021.1997629&partnerID=40&md5=44c58775e77c69cd2615e24642968880","Laboratoire d'Etudes et de Recherche sur les Dynamiques Sociales et le Développement Local (LASDEL), Parakou, Benin; Department of Geography, University of Bayreuth, Bayreuth, Germany; Department of Geography, Freie Universität Berlin, Berlin, Germany","Donko, K., Laboratoire d'Etudes et de Recherche sur les Dynamiques Sociales et le Développement Local (LASDEL), Parakou, Benin; Doevenspeck, M., Department of Geography, Freie Universität Berlin, Berlin, Germany; Beisel, U., Department of Geography, University of Bayreuth, Bayreuth, Germany","The externalized European “migration management” in West Africa has technologically modernized and militarized border posts. This threatens visa-free travel, freedom of settlement and borderland economies in parts of the Economic Community of West African States (ECOWAS). It has interrupted historical mobility patterns, depleted the diversity of mobility practices and criminalized regional economies. At the same time, one can observe intensified and asymmetrical violent conflict in some of these borderlands. By taking the Kantchari-Makalondi borderland as a case study we analysed the relations between migration policies, insecurity, forced immobility and economic decline. Our observations and interviews with migrants, traders, security forces and borderlanders lead us to question conventional narratives on border control and African mobilities as a binary relation between Africa and Europe. Instead, they foreground the multiple practices of (im)mobility in these spaces: the circulation and blockage of travelers, merchandise, surveillance technologies, and military interventions and their impact on security and livelihoods. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","(im)mobility; borders; Burkina Faso; Migration; relationality; violence; West Africa",,Article,"Final","",Scopus,2-s2.0-85119360194
"Martins B.O., Jumbert M.G.","56661910200;55788445500;","EU Border technologies and the co-production of security ‘problems’ and ‘solutions’",2022,"Journal of Ethnic and Migration Studies","48","6",,"1430","1447",,3,"10.1080/1369183X.2020.1851470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097812318&doi=10.1080%2f1369183X.2020.1851470&partnerID=40&md5=dfe52340b6d3e6b442996f0d31eb988f","Peace Research Institute Oslo, Oslo, Norway; Malmö Institute for Studies of Migration, Diversity and Welfare, Malmö University, Malmö, Sweden","Martins, B.O., Peace Research Institute Oslo, Oslo, Norway, Malmö Institute for Studies of Migration, Diversity and Welfare, Malmö University, Malmö, Sweden; Jumbert, M.G., Peace Research Institute Oslo, Oslo, Norway","This article contributes to an understanding of how expert technological knowledge impacts the security-migration management nexus at the EU borders. It argues that recent migration flows augmented pre-existing dynamics of growing reliance upon technology in EU border management. These dynamics are assessed through a study of the way emerging technologies, in particular Unmanned Aerial Vehicles (UAV, commonly known as drones), and specific information and surveillance technologies installed on them, have become increasingly understood as crucial for the management of migration into the EU. The article synthesises securitisation theory with Science and Technology Studies to show, first, how the values reflected in border technologies often encapsulate a securitised understanding of the migrant, and second, how the migrants arriving in Europe have been characterised as both potential security threats and as individuals in need of rescue and protection. These frames trigger securitisation dynamics that portray the migration issue as amenable to state-of-the-art technology. In this logic, security ‘problems’ and security ‘solutions’ are co-produced within a complex multi-layered network of public and private actors. © 2020 Informa UK Limited, trading as Taylor & Francis Group.","border management; drones; European Union; expertise; securitisation; Technology",,Article,"Final","",Scopus,2-s2.0-85097812318
"Bellanova R., Glouftsios G.","36343448300;57197773539;","Controlling the Schengen Information System (SIS II): The Infrastructural Politics of Fragility and Maintenance",2022,"Geopolitics","27","1",,"160","184",,4,"10.1080/14650045.2020.1830765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095837210&doi=10.1080%2f14650045.2020.1830765&partnerID=40&md5=8640be9ca492993421362b00a8dfe3e5","Department of Political Science, University of Amsterdam, Amsterdam, Netherlands; School of International Studies, University of Trento, Trento, Italy","Bellanova, R., Department of Political Science, University of Amsterdam, Amsterdam, Netherlands; Glouftsios, G., School of International Studies, University of Trento, Trento, Italy","This article focuses on the Schengen Information System (SIS II)–the largest data infrastructure supporting police cooperation and border controls in the European Union. Through the SIS II, national authorities exchange information about individuals and objects, and this across national and institutional boundaries. Yet, the SIS II does not always perform as anticipated in its design scripts. Following common threads about infrastructural politics across Science and Technology Studies, political geography and critical security studies, we explore fragility and maintenance as being intrinsic to the functioning of data infrastructures and crucial sites of governance. We show how the SIS II is kept under continuous control to operate as a controlling data infrastructure. This article contributes to a critical inquiry into the datafication of border controls by interrogating how data acquire the status of allegedly credible and accurate information. Ultimately, this approach pinpoints the inherent fragility of seemingly mighty data infrastructures and casts a light on those actors and processes that sustain, through maintenance, contemporary digital borders. © 2020 Taylor & Francis Group, LLC.",,"border region; database; European Union; geopolitics; information system; police force; Europe",Article,"Final","",Scopus,2-s2.0-85095837210
"Sánchez-Monedero J., Dencik L.","57217862239;55807285900;","The politics of deceptive borders: ‘biomarkers of deceit’ and the case of iBorderCtrl",2022,"Information Communication and Society","25","3",,"413","430",,8,"10.1080/1369118X.2020.1792530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088966575&doi=10.1080%2f1369118X.2020.1792530&partnerID=40&md5=387c9e144d46bf72d11837952fdc0db0","School of Journalism, Media and Culture, Cardiff University, Cardiff, United Kingdom","Sánchez-Monedero, J., School of Journalism, Media and Culture, Cardiff University, Cardiff, United Kingdom; Dencik, L., School of Journalism, Media and Culture, Cardiff University, Cardiff, United Kingdom","This paper critically examines a recently developed proposal for a border control system called iBorderCtrl, designed to detect deception based on facial recognition technology and the measurement of micro-expressions, termed ‘biomarkers of deceit’. Funded under the European Commission’s Horizon 2020 programme, the system is analysed in relation to the wider political economy of ‘emotional AI’ and the history of deception detection technologies. We then move on to interrogate the design of iBorderCtrl using publicly available documents and assess the assumptions and scientific validation underpinning the project design. Finally, drawing on a Bayesian analysis we outline statistical fallacies in the foundational premise of mass screening and argue that it is very unlikely that the model that iBorderCtrl provides for deception detection would work in practice. By interrogating actual systems in this way, we argue that we can begin to question the very premise of the development of data-driven systems, and emotional AI and deception detection in particular, pushing back on the assumption that these systems are fulfilling the tasks they claim to be attending to and instead ask what function such projects carry out in the creation of subjects and management of populations. This function is not merely technical but, rather, we argue, distinctly political and forms part of a mode of governance increasingly shaping life opportunities and fundamental rights. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","affective computing; deception detection; lie detection; machine learning; migration; Smart borders",,Article,"Final","",Scopus,2-s2.0-85088966575
"Grünenberg K., Møhl P., Olwig K.F., Simonsen A.","55907153900;57215968827;6603412400;57203922750;","Issue Introduction: IDentities and Identity: Biometric Technologies, Borders and Migration",2022,"Ethnos","87","2",,"211","222",,1,"10.1080/00141844.2020.1743336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082453562&doi=10.1080%2f00141844.2020.1743336&partnerID=40&md5=8104262971a692f6608635d0c46b515c","University of Copenhagen, Denmark; Copenhagen Academy for Medical Education and Simulation, Denmark","Grünenberg, K., University of Copenhagen, Denmark; Møhl, P., University of Copenhagen, Denmark, Copenhagen Academy for Medical Education and Simulation, Denmark; Olwig, K.F., University of Copenhagen, Denmark; Simonsen, A., University of Copenhagen, Denmark","Biometric technologies using digital representations of bodily characteristics to identify individuals have become an institutionalised method of registering and recognising persons, thereby establishing their right to cross borders. Based on situated ethnographic fieldwork among tech-developers, border police, forensics, IT hacktivists and migrants, this special issue illuminates how biometric technologies are put to use and experienced by the diverse social actors who imagine and promote, develop, employ, are subjected to and attempt to circumvent such identification. In this introduction biometric identification (or IDentification) is presented as a relatively new area of investigation that has been subjected to little ethnographic scrutiny. It is argued that, while biometric technologies are promoted as enabling objective and incontestable IDentification of individuals, they are in practice embedded in specific social contexts, fraught with ambiguity and uncertainty, and dependent on substantial human interpretation and social identification. They are therefore of considerable interest and concern to anthropology. © 2020 Informa UK Limited, trading as Taylor & Francis Group.","Biometric technologies; border control; Europe; identity; migration",,Editorial,"Final","",Scopus,2-s2.0-85082453562
"Glouftsios G.","57197773539;","Governing border security infrastructures: Maintaining large-scale information systems",2021,"Security Dialogue","52","5",,"452","470",,5,"10.1177/0967010620957230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094209777&doi=10.1177%2f0967010620957230&partnerID=40&md5=be6f310397b5bf0aaac1009e9fbf88ee","University of Trento, Italy","Glouftsios, G., University of Trento, Italy","This article explores the maintenance of large-scale information systems that are used for, among other purposes, border security in the European Union. My argument is that information systems do not always operate according to their design scripts. They materialize as unruly, unstable and failing infrastructures that are governed through maintenance in order to correct any identified functional anomalies and address potential future failures by adapting them to emerging technologies and the service needs of end-users (e.g. border guards, police). To conceptualize the maintenance labour through which information systems are governed, I synthesize ideas developed in Michel Foucault’s work on biopolitics and governmentality with contributions that explore the agentic forces and proclivities of technoscientific matter. By unearthing the very mechanics of maintenance processes, I make two contributions to the literature that interrogates the digitization and smartening of border security. First, I demonstrate that attending to maintenance permits a more complete understanding of the agency of information systems. Second, I broaden the research agenda that explores border security as practice by directing attention towards the often invisible, but politically significant, labour of maintainers who, by rendering information systems functional, sustain the power to govern international mobility by digital means. © The Author(s) 2020.","Border security; information systems; maintenance; Michel Foucault; New Materialisms",,Article,"Final","",Scopus,2-s2.0-85094209777
