Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Tupman W.A.","56969733100;","Cross-National Criminal Databases: The ongoing search for safeguards",1995,"Information & Communications Technology Law","4","3",,"261","275",,5,"10.1080/13600834.1995.9965725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347829791&doi=10.1080%2f13600834.1995.9965725&partnerID=40&md5=f9b5cbd8adb0c7284c522422942d1e0a","Centre for Police, Criminal Justice Streatham Court, University of Exeter, Exeter, United Kingdom","Tupman, W.A., Centre for Police, Criminal Justice Streatham Court, University of Exeter, Exeter, United Kingdom","With the abolition of most internal border controls within the EC cross-border police information networks are increasingly important in fighting cross-border crime. But the existence of databases ranging from the relatively unsophisticated Schengen Information System and the proposed European Information System to the UCLAF system to combat fraud raises many legal and criminological issues. There is a danger that the database and profiling approach exaggerates the scale of organised crime to excuse unwarranted interference with civil liberties, and it is not easy to keep large databases secure from hackers. There is no proper mechanism for complaining about abuses, and there may be inadequate protection for political dissidents. On the other hand pooling of information enables the authorities to allocate scarce resources to the most harmful crimes and can help to minimise unwarranted invasions of privacy. National SIRENE bureaux provide judicial and administrative checks by filtering individual requests for information from databases, and safeguards have been built into the procedures for accessing the IRENE-3 database. But there remain causes for concern. © 1995, Taylor & Francis Group, LLC. All rights reserved.",,,"Tupman, W.A.; Centre for Police, , Exeter, United Kingdom",,,13600834,,,,"English","Inf. Commun. Technol. Law",Article,"Final","",Scopus,2-s2.0-0347829791
"Mahmood S.","36507378800;","The schengen information system: An inequitable data protection regime",1995,"International Journal of Refugee Law","7","2",,"179","200",,4,"10.1093/ijrl/7.2.179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957174942&doi=10.1093%2fijrl%2f7.2.179&partnerID=40&md5=1f16efdfa32de391faac3c9956de09c7","Barrister; Visiting Lecturer in Law, London Guildhall University, United Kingdom","Mahmood, S., Barrister; Visiting Lecturer in Law, London Guildhall University, United Kingdom",[No abstract available],,,"Mahmood, S.; Barrister; Visiting Lecturer in Law, United Kingdom",,,09538186,,,,"English","Int. J. Refugee Law",Article,"Final","",Scopus,2-s2.0-77957174942
"Tupman W.A.","56969733100;","Supranational investigation after amsterdam, the corpus juris and agenda 2000",1998,"Information and Communications Technology Law","7","2",,"85","102",,6,"10.1080/13600834.1998.9965782","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898521729&doi=10.1080%2f13600834.1998.9965782&partnerID=40&md5=b41f3243b45ddae5030178489b505fe8","Department of Politics, University of Exeter, Amory Building, Exeter, EX4 4RJ, United Kingdom","Tupman, W.A., Department of Politics, University of Exeter, Amory Building, Exeter, EX4 4RJ, United Kingdom","The article is a continuation and update of a series exploring the development of a system of supranational investigation within the European Union. It argues that the Commission's focus of attention has shifted from a data-base dominated approach to a drive to establish a legal framework within which prosecution can take place. After examining the in-built nature of cross-border crime, the article updates the status of previously established cross-border investigative databases. It goes on to discuss the transfer of Justice and Home Affairs from Third Pillar to First Pillar status within the Treaty of Amsterdam, arrangements for the incorporation of the Schengen acquis and proposals for the future work of Europol. It also raises the proposals to create a European Judicial area for the prosecution of fraud against the Community Budget and the institutions and offences covered by these proposals. Finally, the expansion of the EU under Agenda 2000 is addressed, and it is suggested that financial, technical jurisdictional and political problems will continue to impede the progress towards all-European investigative and prosecutorial systems. © 1998 Taylor & Francis Group, LLC.",,,"Tupman, W.A.; Department of Politics, Amory Building, Exeter, EX4 4RJ, United Kingdom",,,13600834,,,,"English","Inf. Commun. Technol. Law",Article,"Final","",Scopus,2-s2.0-84898521729
"Chocquet C.","8077234800;","The Sehengen information system : A twofold challenge [Le système d'information schengen: Un double défi (I)]",1998,"Revue du Marche Commun et de l'Union Europeenne",,"418",,"294","297",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039117342&partnerID=40&md5=86b5b77970f8722b3b67ec86d9a03322",,"Chocquet, C.","Policing and legal co-operation In the Schengen area is based around the Schengen Information System, which comprises an operational police database, used and updated by the Member, States covered by the agreement This is a tool for inter-state cooperation like no other in existence, whose design and implementation required several years. Since it came into service in March 1995, the system has proved to be highly reliable technically, and on a daily basis it makes it possible to carry out arrests pending extradition, or to discover stolen vehicles throughout the Schengen area. The operation of such a system can only be conceivable within a framework for the respect of individual freedom. It is for this reason that the agreement lays down strict criteria regarding personal data protection, as well as an inspection procedure operated at two different levels by the national inspection authorities (the CNIL for France) and a common independent inspection authority, set up by the Schengen Member States.",,,,,,00352616,,,,"French","Rev. Marche Commun Union Eur.",Article,"Final","",Scopus,2-s2.0-0039117342
"Van Der Ploeg I.","9134042200;","The illegal body: 'Eurodac' and the politics of biometric identification",1999,"Ethics and Information Technology","1","4",,"295","302",,116,"10.1023/A:1010064613240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0842293963&doi=10.1023%2fA%3a1010064613240&partnerID=40&md5=6b284b788ea31746e537f940cdc76861","Centre for the Philosophy of Information and Communication Technology, Department of Philosophy, Erasmus University of Rotterdam, Netherlands","Van Der Ploeg, I., Centre for the Philosophy of Information and Communication Technology, Department of Philosophy, Erasmus University of Rotterdam, Netherlands","Biometrics is often described as 'the next big thing in information technology'. Rather than IT rendering the body irrelevant to identity -a mistaken idea to begin with -the coupling of biometrics with IT unequivocally puts the body center stage. The questions to be raised about biometrics is how bodies will become related to identity, and what the normative and political ramifications of this coupling will be. Unlike the body rendered knowable in the biomedical sciences, biometrics generates a readable body: it transforms the body's surfaces and characteristics into digital codes and ciphers to be 'read' by a machine. ""Your iris is read, in the same way that your voice can be printed, and your fingerprint can be read"", by computers that, in turn, have become ""touch-sensitive"", and endowed with seeing and hearing capacities. Thus transformed into readable ""text"", the meaning and significance of the biometric body will be contingent upon ""context"", and the relations established with other ""texts"". These metaphors open up ways to investigate the different meanings that will become attached to the biometric body and the ways in which it will be tied to identity. This paper reports on an analysis of plans and practices surrounding the 'Eurodac' project, a European Union initiative to use biometrics (specif. fingerprinting) in controlling illegal immigration and border crossings by asylum seekers. © 2000 Kluwer Academic Publishers. Printed in the Netherlands.",,"Audition; Crime; Asylum seeker; Biomedical science; Biometric identifications; Border crossings; Digital codes; European union; Biometrics","Van Der Ploeg, I.; Centre for the Philosophy of Information and Communication Technology, Netherlands; email: Y.H.vanderPloeg@fwb.eurnl",,"Kluwer Academic Publishers",13881957,,,,"English","Ethics Inf. Technol.",Article,"Final","",Scopus,2-s2.0-0842293963
"Hurwitz A.","8768904500;","The 1990 Dublin Convention: A Comprehensive Assessment",1999,"International Journal of Refugee Law","11","4",,"646","676",,32,"10.1093/ijrl/11.4.646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344378521&doi=10.1093%2fijrl%2f11.4.646&partnerID=40&md5=12bb750cf85bd69a8e3134c38c61833d","BA, Brussels, Belgium; LL M (Cantab.), Belgium","Hurwitz, A., BA, Brussels, Belgium, LL M (Cantab.), Belgium, ","The 1990 Dublin Convention which entered into force on 1 September 1997, establishes a system determining the State responsible for examining the applications for asylum lodged in one of the Member States of the European Communities. This article will present a critical assessment of the operation of the Convention in light of State practice and case-law in Belgium, France, Germany, the Netherlands and the United Kingdom and provide some suggestions towards its improvement. The underpinning of the 'Dublin system' is the principle of authorisation, under which the State which has 'authorised' the entry of an asylum seeker on the territory of the Member State is responsible for examining his or her application. The Convention sets out objective criteria to determine the responsible State in accordance with that principle. Complex procedural rules have also been adopted to implement the Convention, including the draft EURODAC instrument which organises a centralised database of asylum seekers' fingerprints. Yet, various problems have appeared in the operation of the Convention. The scope of the Convention does not include applications for humanitarian protection, the conditions for family reunification are too strictly defined, and most importantly the difficulty of providing strong evidence of illegal entry into one of the Member States renders the Convention useless in many cases. The application of the 'opt-out' clause, which creates a derogation to the criteria determining responsibility, is therefore quite common in humanitarian and family cases, but is also used by the authorities of the Member States to ensure the swift expulsion of asylum seekers. The very basis of the system, the principle of authorisation, should also be re-examined by the Commission which will present a proposal of Community instrument based on the Dublin instrument in the near future.",,,"Hurwitz, A.; BA, Brussels, Belgium",,"Oxford University Press",09538186,,,,"English","Int. J. Refugee Law",Article,"Final","",Scopus,2-s2.0-0344378521
"Toussaint M.","7006246170;","Eurodac: A European computerized system for the comparison of the fingerprints of applicants for asylum [Eurodac: Un systeme informatise Europeen de comparaison des empreintes digitales des demandeurs d'asile]",1999,"Revue du Marche Commun et de l'Union Europeenne",,"429",,"421","425",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033301245&partnerID=40&md5=b1ae9bb4ffd7b84e2c0ffae17cd05477",,"Toussaint, M.","As its meeting on 3 and 4 December 1998, the Justice and Home Affairs Council decided to agree with the establishment of a system, known as 'Eurodac'; a European computerized central database for the comparison of the fingerprints of applicants for asylum. The purpose of Eurodac is to assist in determining the Member State which is responsible pursuant to the Dublin Convention of 15 June 1990 for examining an application for asylum lodged in one Member State. The main practical and legal aspects of the establishment of Eurodac will be discussed in this article.",,"asylum seeker; database; European Union; immigration policy; Europe",,,,00352616,,,,"French","Rev. Marche Commun Union Eur.",Article,"Final","",Scopus,2-s2.0-0033301245
"Brouwer E.R.","57224702012;","Eurodac: Its Limitations and Temptations",2002,"European Journal of Migration and Law","4","2",,"231","247",,21,"10.1023/A:1015908605561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036286811&doi=10.1023%2fA%3a1015908605561&partnerID=40&md5=55ad15a3cf0768a84e8db0779fe8d73c",,"Brouwer, E.R.",[No abstract available],,,,,"Kluwer Law International",1388364X,,,,"English","Eur. J. Migr. Law",Review,"Final","",Scopus,2-s2.0-0036286811
"Samatas M.","7801555652;","Greece in 'Schengenland': Blessing or anathema for citizens' and foreigners' rights?",2003,"Journal of Ethnic and Migration Studies","29","1",,"141","156",,14,"10.1080/1369183032000076768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037696273&doi=10.1080%2f1369183032000076768&partnerID=40&md5=ed73a2b0f1f691657d84eaac57c4c313","Department of Sociology, University of Crete, PO Box 91, Rethymnon Crete 74100, Greece","Samatas, M., Department of Sociology, University of Crete, PO Box 91, Rethymnon Crete 74100, Greece","This paper is a case-study of the actual impact of Schengen implementation by the Greek state security apparatus, and its implication for basic and new rights of Greek citizens and foreigners, vis-à-vis European integration. It is based upon an analysis of special data records, including surveillance of national and alien suspects, asylum and deportations, 'border repulsion of undesirable persons', etc. provided to the press by the Greek Schengen Bureau. Some comparisons are made with other Schengen counterparts. The analysis illustrates those particular geopolitical and sociopolitical control imperatives that actually affect the efficiency of the Schengen Agreement in Greece. Based also on other documented evidence, I conclude that Schengen's impact is a mixed blessing for Greek and European citizens as regards both their free movement, and also potential violations of their privacy and civil liberties. It is clearly an 'immigration anathema' to build a 'Fortress Europe', especially as regards Third World immigrants' and refugees' rights and life chances in the EU.","Asylum-seekers; Fortress Europe; Greece; Immigrants; Schengen information system","asylum seeker; human rights; immigrant population; immigration policy; Greece","Samatas, M.; Department of Sociology, PO Box 91, Rethymnon Crete 74100, Greece; email: samatas@social.soc.uoc.gr",,,1369183X,,,,"English","J. Ethn. Migr. Stud.",Article,"Final","",Scopus,2-s2.0-0037696273
"Carrera S.","26038967900;","What Does Free Movement Mean in Theory and Practice in an Enlarged EU?",2005,"European Law Journal","11","6",,"699","721",,58,"10.1111/j.1468-0386.2005.00283.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248036674&doi=10.1111%2fj.1468-0386.2005.00283.x&partnerID=40&md5=545a6fcd1b02d15dbadc4b7c5f8c0931",,"Carrera, S.","Abstract The purpose of this article is to review the main challenges to the principle of free movement of persons in theory and practice in an enlarged European Union. The right to move freely represents one of the fundamental freedoms of the internal market as well as an essential political element of the package of rights linked to the very status of EU citizenship. The scope ratione personae and the current state of the principle of free movement of persons is assessed by looking at the most recent case law of the Court of Justice and the recently adopted Directive on the rights of citizens of the Union and their family members to move and reside freely within the territory of the Member States. But what are the hidden and visible obstacles to free movement of persons in Europe? How can these barriers be overcome to make free movement and residence rights more inclusive? This article addresses these issues along with the following questions: Who are the beneficiaries of the free movement of persons in an enlarged Europe? What is the impact of the recent legal developments in the freedom of movement dimension, such as the European Court of Justice case law and the new Directive? And to what extent are pro-security policies such as the Schengen Information System II and an enhanced interoperability between European databases fully compatible with the freedom of movement paradigm?. © 2017 Wiley. All rights reserved.",,,,,,13515993,,,,"English","Euro. Law J.",Article,"Final","",Scopus,2-s2.0-34248036674
