Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Metcalfe P.","57223191710;","Autonomy of Migration and the Radical Imagination: Exploring Alternative Imaginaries within a Biometric Border",2022,"Geopolitics","27","1",,"47","69",,1,"10.1080/14650045.2021.1917550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105237124&doi=10.1080%2f14650045.2021.1917550&partnerID=40&md5=918f9e467f2b335d4b91f1060c6708c3","School of Journalism, Media and Culture (JOMEC), Data Justice Lab, Cardiff University, Cardiff, United Kingdom","Metcalfe, P., School of Journalism, Media and Culture (JOMEC), Data Justice Lab, Cardiff University, Cardiff, United Kingdom","This paper discusses biometric borders in Europe, focusing on the Eurodac database and practises of fingerprinting people on the move in Greece as a politicised attempt to control and limit secondary movement as set out in the Dublin Regulation. The paper presents empirical research to explore one way in which migrants in Athens negotiate Eurodac; where alternative imaginaries informed ideas of ‘big’ and ‘small’ fingerprints, shaping interactions with the asylum service as well as secondary movement. I use Autonomy of Migration (AoM) theories to depict borders as places of ongoing conflict, subjectivity and transformation and introduce the work of Castoriadis’ social imaginaries and the radical imagination to explore migrants’ alternative imaginaries. I argue that these occur at points of friction, within the constraints of, and alongside, a dominant socio-technical imaginary driving the proliferation of biometric border controls. I believe this enables a deeper understanding of the autonomy with AoM theories. Here, autonomy is presented as instances of self-creation, spurred on through the radical imagination and shaping moments of uncontrollability, where the subjective dimension of migration informs both meanings of autonomy as well as alternative imaginaries. Ultimately, I argue that these practices seek to disrupt and challenge the dominance of biometrics as a signifier of control, identity and truth. © 2021 The Author(s). Published with license by Taylor & Francis Group, LLC.",,"autonomy; biometry; cross-border relations; geopolitics; political relations; political system; Dublin [Ohio]; Greece; Ohio; United States","Metcalfe, P.; Data Justice Lab, United Kingdom; email: metcalfepj@cardiff.ac.uk",,"Routledge",14650045,,GEOPF,,"English","Geopolit.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85105237124
"Bellanova R., Glouftsios G.","36343448300;57197773539;","Controlling the Schengen Information System (SIS II): The Infrastructural Politics of Fragility and Maintenance",2022,"Geopolitics","27","1",,"160","184",,4,"10.1080/14650045.2020.1830765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095837210&doi=10.1080%2f14650045.2020.1830765&partnerID=40&md5=8640be9ca492993421362b00a8dfe3e5","Department of Political Science, University of Amsterdam, Amsterdam, Netherlands; School of International Studies, University of Trento, Trento, Italy","Bellanova, R., Department of Political Science, University of Amsterdam, Amsterdam, Netherlands; Glouftsios, G., School of International Studies, University of Trento, Trento, Italy","This article focuses on the Schengen Information System (SIS II)–the largest data infrastructure supporting police cooperation and border controls in the European Union. Through the SIS II, national authorities exchange information about individuals and objects, and this across national and institutional boundaries. Yet, the SIS II does not always perform as anticipated in its design scripts. Following common threads about infrastructural politics across Science and Technology Studies, political geography and critical security studies, we explore fragility and maintenance as being intrinsic to the functioning of data infrastructures and crucial sites of governance. We show how the SIS II is kept under continuous control to operate as a controlling data infrastructure. This article contributes to a critical inquiry into the datafication of border controls by interrogating how data acquire the status of allegedly credible and accurate information. Ultimately, this approach pinpoints the inherent fragility of seemingly mighty data infrastructures and casts a light on those actors and processes that sustain, through maintenance, contemporary digital borders. © 2020 Taylor & Francis Group, LLC.",,"border region; database; European Union; geopolitics; information system; police force; Europe","Bellanova, R.; Department of Political Science, Netherlands; email: georgios.glouftsios@unitn.it",,"Routledge",14650045,,GEOPF,,"English","Geopolit.",Article,"Final","",Scopus,2-s2.0-85095837210
"Mirzoeff N.","26034502300;","Artificial vision, white space and racial surveillance capitalism",2021,"AI and Society","36","4",,"1295","1305",,1,"10.1007/s00146-020-01095-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095714356&doi=10.1007%2fs00146-020-01095-8&partnerID=40&md5=1c2d8be0f931f8db106160304289e2c4","Department of Media, Culture and Communication, New York University, New York, United States","Mirzoeff, N., Department of Media, Culture and Communication, New York University, New York, United States","This first half of the paper outlines the formation of racial surveillance capitalism across the longue durée of settler colonialism, with special attention to the formation of artificial vision. This artificial vision is deployed in the erased territory, creating a white space in which to see from platforms, ranging from the ship, to the train and today’s drones. The second section examines the Eurodac digital fingerprint database created by the European Union to monitor and control asylum seekers and refugees as an “artificial life system,” to use a phrase coined by its administrators. In this automated form, artificial vision is distributed rather than centralized. © 2020, Springer-Verlag London Ltd., part of Springer Nature.","Artificial vision; Database; Eurodac; Leviathan; Race; Racialization; Surveillance; The state; Whiteness",,"Mirzoeff, N.; Department of Media, United States; email: nm45@nyu.edu",,"Springer Science and Business Media Deutschland GmbH",09515666,,,,"English","AI Soc.",Editorial,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85095714356
"Tuster B., Tsianos V.S.","57292939100;36199134000;","The embodied identity of migration and the biometrics of the border [Die verkörperte Identität der Migration und die Biometrie der Grenze]",2021,"Zeitschrift fur Praktische Philosophie","8","1",,"513","546",,,"10.22613/zfpp/8.1.21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116922977&doi=10.22613%2fzfpp%2f8.1.21&partnerID=40&md5=e3f7fdfd51b2877dd122b6f07e348a2f","Berlin, Germany; Kiel, Germany","Tuster, B., Berlin, Germany; Tsianos, V.S., Kiel, Germany","The following contribution deals with the recourse to the body at the border and aims to outline some of the particular problems that arise from an ontology of the body based on control policies and its further processing as a database-supported identity in the context of European migration policy. In this way, we want to contribute to the politicization of the constitutive instability of an embodied identity, i.e. of an identity and above all a body, as it has been postulated – against the somatic identity criterion, so to speak, according to which “we are” our body – by feminists such as Elizabeth Grosz (1994) or Niamh Stephenson and Dimitris Papadopoulos (2006) and, for the field of Surveillance Studies, by Kirstie Ball (2005). In the first part of the text we take up three cases. They have occurred as a result of refugee movements into Europe from 2015 onwards and, for their part – as we will show, not at all rationally justified –, have been conjured up to create scandals and then used as arguments to promote both the social and political acceptance and the desirability of increasing data interoperability and extending the scope of application, as can be seen from the EURODAC amendment that is currently underway. In the second part, we summarize the EURODAC Recast – outlining a new phase of development of the socio-technical assemblage, which is producing an embodied identity of migration in the European development and research institutions of biometric identification and mobility control. Linguistics and Culture Review © 2021.","Biometrics; Datafication; EURODAC; Identity; Migration",,,,"University of Salzburg",24099961,,,,"German","Z. Prakt. Philos.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85116922977
"Brouwer E.","10539285300;","Schengen and the Administration of Exclusion: Legal Remedies Caught in Between Entry Bans, Risk Assessment and Artificial Intelligence",2021,"European Journal of Migration and Law","23","4",,"485","507",,,"10.1163/15718166-12340115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122804005&doi=10.1163%2f15718166-12340115&partnerID=40&md5=b1d7fd4bccf91908f5ebb8b81dc12346","Institute of Jurisprudence, Constitutional Law and Administrative Law - Montaigne Centre for Rule of Law and Administration of Justice, Utrecht University, Utrecht, Netherlands","Brouwer, E., Institute of Jurisprudence, Constitutional Law and Administrative Law - Montaigne Centre for Rule of Law and Administration of Justice, Utrecht University, Utrecht, Netherlands","To create an area in which persons can move freely, the Schengen states committed to control their external borders to prevent irregular immigration and the entry of third-country nationals (TCNs) who are considered to be 'a public order and security risk'. The exclusion of 'unwanted aliens' can be based on the mutual enforcement of national decisions, such as entry bans reported in the Schengen Information System, or objections against the issuing of a Schengen visa, based on the consultation procedure in the Visa Code. This contribution focuses on the right of TCNs to have access to effective remedies, both with regard to existing and newer mechanisms of exclusion. It argues that when dealing with the use of large-scale databases and risk assessment as basis for excluding admission, existing rules and case-law by the CJEU should be taken into account to ensure access to effective judicial protection for TCNs. © Evelien Brouwer, 2021","Algorithms; Artificial intelligence; ECRIS-TCN; Effective remedy; Entry bans; ETIAS; Mutual trust; Risk assessment; SIS II; Visa code",,"Brouwer, E.; Institute of Jurisprudence, Netherlands; email: e.r.brouwer@uu.nl",,"Brill Nijhoff",1388364X,,,,"English","Eur. J. Migr. Law",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85122804005
"Vavoula N.","56724218500;","Artificial Intelligence (AI) at Schengen Borders: Automated Processing, Algorithmic Profiling and Facial Recognition in the Era of Techno-Solutionism",2021,"European Journal of Migration and Law","23","4",,"457","484",,,"10.1163/15718166-12340114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122797081&doi=10.1163%2f15718166-12340114&partnerID=40&md5=f54ba74e409aedbd99d35303bda8bcdd","Department of Law, Queen Mary University of London, London, United Kingdom","Vavoula, N., Department of Law, Queen Mary University of London, London, United Kingdom","Since the past three decades, an elaborate legal framework on the operation of EU-Schengen information systems has been developed, whereby in the near future a series of personal data concerning almost all third-country nationals (TCNs) with an administrative or criminal law link with the EU/Schengen area will be monitored through at least one information system. This article provides a legal analysis on the embedment of Artificial Intelligence (AI) tools at the EU level in information systems for TCNs and critically examines the fundamental rights concerns that ensue from the use AI to manage and control migration. It discusses automated risk assessment and algorithmic profiling used to examine applications for travel authorisations and Schengen visas, the shift towards the processing of facial images of TCNs and the creation of future-proof information systems that anticipate the use of facial recognition technology. The contribution understands information systems as enabling the datafication of mobility and as security tools in an era whereby a foreigner is risky by default. It is argued that a violation of the right to respect for private life is merely the gateway for a series of other fundamental rights which are impacted, such as nondiscrimination and right to effective remedies. © Koninklijke Brill NV, Leiden, 2021","Borders; Data protection; Discrimination; Fundamental rights; Information systems; Migration management",,"Vavoula, N.; Department of Law, United Kingdom; email: n.vavoula@qmul.ac.uk",,"Brill Nijhoff",1388364X,,,,"English","Eur. J. Migr. Law",Article,"Final","",Scopus,2-s2.0-85122797081
"Amelung N.","57163895400;","“Crimmigration Control” across Borders: The Convergence of Migration and Crime Control through Transnational Biometric Databases",2021,"Historical Social Research","46","3",,"151","177",,,"10.12759/hsr.46.2021.3.151-177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119172474&doi=10.12759%2fhsr.46.2021.3.151-177&partnerID=40&md5=3b87514dc42920d126e8abe9132770da","University of Lisbon, Institute of Social Sciences, Av. Prof. Aníbal Bettencourt 9, Lisboa, 1600-189, Portugal","Amelung, N., University of Lisbon, Institute of Social Sciences, Av. Prof. Aníbal Bettencourt 9, Lisboa, 1600-189, Portugal","»‘Krimmigration’ über Grenzen: Die Verwobenheit von Migrations-und Kriminalitätskontrolle durch transnationale biometrische Datenbanken«. New cross-border regimes of biometrics and databasing in the EU are con-tributing to a conflation of the treatment of irregularity, asylum seeking, and criminality. States provide migrants’ biometric data to transnational databases that are increasingly interoperable in the area of migration and crime control, to be accessible for state-based law enforcement actors. This article uses the case of Eurodac – a biometric database initially developed for migration control purposes – to explore the ongoing expansion of law enforcement access to the collected information for the purpose of crime control. The article studies how borders are selectively made permeable for biometric data flows in the light of “crimmigration” discourses. It combines insights from critical migration, border, and security studies that address the increasing overlapping of migration and crime control in policy discourse, law, and surveillance technologies. The study addresses the reconfiguration of crimmi-gration – and the normalisation and diversification of the figure of the “crim-migrant other” – through the expansion of cross-border flows of biometric data by law enforcement. © 2021, GESIS - Leibniz Institute for the Social Sciences. All rights reserved.","Bioborders; Biometric data; Borders; Crime Control; Crimmigrant other; Crimmigration; Data subjects; Eurodac; Fingerprint data; Migration Management",,"Amelung, N.; University of Lisbon, Av. Prof. Aníbal Bettencourt 9, Portugal; email: nina.amelung@ics.uslisboa.pt",,"GESIS - Leibniz Institute for the Social Sciences",01726404,,,,"English","Hist. Soc. Res.",Article,"Final","",Scopus,2-s2.0-85119172474
"Glouftsios G., Scheel S.","57197773539;55762175200;","An inquiry into the digitisation of border and migration management: performativity, contestation and heterogeneous engineering",2021,"Third World Quarterly","42","1",,"123","140",,6,"10.1080/01436597.2020.1807929","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090008793&doi=10.1080%2f01436597.2020.1807929&partnerID=40&md5=9a18f6606a9ffd650b7b3919334dd0a1","School of International Studies, University of Trento, Trento, Italy; Institute of Sociology (IfS), Faculty of Social Sciences, University Duisburg-Essen, Duisburg, Germany","Glouftsios, G., School of International Studies, University of Trento, Trento, Italy; Scheel, S., Institute of Sociology (IfS), Faculty of Social Sciences, University Duisburg-Essen, Duisburg, Germany","This article is concerned with the digitisation of border security and migration management. Illustrated through an encounter between a migrant and the Visa Information System (VIS)–one of the largest migration-related biometric databases worldwide–the article’s first part outlines three implications of digitisation. We argue that the VIS assembles a set of previously unconnected state authorities into a group of end users who enact border security and migration management through the gathering, processing and sharing of data; facilitates the practice of traceability, understood as a rationality of mobility control; and has restrictive effects on migrants’ capacity to manoeuvre and resist control. Given these implications, the article’s second part introduces three analytical sensitivities that help to avoid some analytical traps when studying digitisation processes. These sensitivities take their cue from insights and concepts in science and technology studies (STS), specifically material semiotics/ANT approaches. They concern, firstly, the ways that data-based security practices perform the identities of the individuals that they target; secondly, the need to consider possible practices of subversion by migrants to avoid control-biased analyses; and finally, the challenge to study the design and development of border security technologies without falling into either technological or socio-political determinism. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","biometrics; borders; migration management; mobility control; science and technology studies (STS); Visa Information System (VIS)","biometry; border region; database; immigrant; management; migration; science and technology","Glouftsios, G.; itUniversity of Trento, Via Tommaso Gar, 14, Italy; email: georgios.glouftsios@unitn.it",,"Routledge",01436597,,,,"English","Third World Q.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85090008793
"Dahler N.","57216981342;","Biometrics as imperialism: age assessments of young asylum seekers in Denmark",2020,"Race and Class","62","1",,"24","45",,2,"10.1177/0306396820925648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085624522&doi=10.1177%2f0306396820925648&partnerID=40&md5=820be222e392e00c40e43770f1af6886",,"Dahler, N.","This article explores medical assessments of the age of unaccompanied minors seeking asylum in Denmark, to show how, through the medical and bureaucratic aspects of the process, it serves as an imperialist technology of control, as those judged under 18 have greater protection in the asylum system. Since the biggest group of people who are age-estimated in Denmark are Afghans, the author looks at the relationship between Denmark and Afghanistan and draws on interviews with people who underwent the process. By connecting medical documents with biometric measurement in colonial contexts and the current expansion of biometric surveillance, the author argues that the collection of intrusive physical data from Afghan minors is to be understood as a colonial mapping of the body. The Danish Immigration Service’s age decision-making process articulates a form of administrative rule that works to depoliticise questions of dispossession and death, and is a form of colonial violence enabled by humanitarian discourse and law. © 2020 Institute of Race Relations.","Afghanistan; biometric surveillance; Danish Immigration Service; Denmark; Eurodac; imperialist technology; medical age assessments; unaccompanied minors; ‘war on terror’","Afghan; Afghanistan; article; asylum seeker; biometry; decision making; Denmark; human; immigration; interview; medical assessment; violence","Dahler, N.",,"SAGE Publications Ltd",03063968,,,,"English","Race Cl.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85085624522
"ADEN H.","16232240200;","Interoperability Between EU Policing and Migration Databases: Risks for Privacy",2020,"European Public Law","26","1",,"93","108",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100081498&partnerID=40&md5=0151ec4a81bb2171a38b4ddd52a412f2","Professor of German and European Public Law, Public Policy and Public Administration, Berlin School of Economics and Law/Hochschule für Wirtschaft und Recht, Department of Police and Security Management, Deputy Director of the Berlin Institute for Safety and Security Research, HWR Berlin, Germany","ADEN, H., Professor of German and European Public Law, Public Policy and Public Administration, Berlin School of Economics and Law/Hochschule für Wirtschaft und Recht, Department of Police and Security Management, Deputy Director of the Berlin Institute for Safety and Security Research, HWR Berlin, Germany","The interoperability initiative passed in May 2019 as Regulations (EU) 2019/817 and 818 seeks new strategies for identifying dangerous individuals who use false or multiple identities. The EU's databases in the Area of Freedom Security and Justice (AFSJ) for policing and migration purposes will be interconnected. This constitutes a paradigm shift for purpose limitation as a core element of data protection. This article identifies regulatory patterns and shortcomings in the technical and legal data protection arrangements of the interoperability regulations. The legal framework for data protection in the EU has developed considerably with the General Data Protection Regulation (GDPR) 2016/679 and with Directive 2016/680 for policing and criminal justice. The European Data Protection Board, a multilevel accountability forum in which European and national data protection authorities cooperate has been established. From a trans-disciplinary legal, public administration, and public policy perspective, this article analyses the regulatory patterns and institutional settings established for the upcoming interoperability of databases for policing and migration. © 2020 Kluwer Law International BV, The Netherlands","accountability; data protection; EU external borders; EU migration and policing databases; eu-LISA; Europol; inter-operability; police information sharing; privacy; Schengen Information System; Visa Information System",,"ADEN, H.; Professor of German and European Public Law, Germany",,"Kluwer Law International",13543725,,,,"English","European Public Law",Article,"Final","",Scopus,2-s2.0-85100081498
